,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
94,1Crowd,https://www.crunchbase.com/organization/1crowd,"Mumbai, Maharashtra, India","Crowdsourcing, Financial Services, Funding Platform, Venture Capital",Angel,2018-03-08,3500000.0,USD,3500000.0,11-50,3500000.0,USD,3500000.0,1.0,,,,,,2.0,,,,,2015-01-01,https://twitter.com/1crowd_co,,https://www.linkedin.com/company/1crowd,Seed,,,Less than $1M
259,Shippabo,https://www.crunchbase.com/organization/shippabo-2,"Los Angeles, California, United States","E-Commerce, Enterprise Applications, SaaS, Shipping, Transportation",Angel,2017-10-15,100000.0,USD,100000.0,11-50,950000.0,USD,950000.0,3.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/shippabo,,https://www.linkedin.com/company/shippabo,Seed,,,Less than $1M
267,Chtrbox,https://www.crunchbase.com/organization/chtrbox,"Mumbai, Maharashtra, India","Advertising, Internet, Marketing",Angel,2018-05-23,10000000.0,INR,146370.0,11-50,20000000.0,INR,307453.0,2.0,,,,,,2.0,,,,,2015-01-01,https://twitter.com/chtrbox_tech,https://www.facebook.com/chtrbox/,https://www.linkedin.com/company/chatterbox-technologies-pvt-ltd/,Seed,,,Less than $1M
281,Orderly Health,https://www.crunchbase.com/organization/orderly-health,"Denver, Colorado, United States","Artificial Intelligence, Finance, Health Care, Software",Angel,2018-08-28,938539.0,USD,938539.0,1-10,1058539.0,USD,1058539.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/orderlyhealth,,https://www.linkedin.com/company/orderlyhealth,Seed,,,Less than $1M
330,Hala Systems,https://www.crunchbase.com/organization/hala-systems,"Chicago, Illinois, United States","Information Services, Information Technology",Angel,2019-06-24,1000000.0,USD,1000000.0,11-50,1000000.0,USD,1000000.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,,,https://www.linkedin.com/company/hala-systems/,Seed,,,Less than $1M
449,MintMesh,https://www.crunchbase.com/organization/mintmesh,"Fairfax, Virginia, United States","Artificial Intelligence, Big Data, Human Resources, Information Technology, Machine Learning, Recruiting, Social Recruiting",Angel,2016-09-27,20000000.0,INR,300656.0,1-10,20000000.0,INR,300656.0,1.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/mintmesh,https://www.facebook.com/mintmesh,https://www.linkedin.com/company/mintmesh-inc,Seed,,,Less than $1M
459,Papumba,https://www.crunchbase.com/organization/papumba,"Buenos Aires, Distrito Federal, Argentina","Apps, EdTech, Education, Mobile",Angel,2018-09-01,325000.0,USD,325000.0,1-10,1200000.0,USD,1200000.0,4.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/papumba_ok,https://www.facebook.com/papumbagames,https://www.linkedin.com/company/papumba,Seed,,,Less than $1M
471,Ezytruk Solutions,https://www.crunchbase.com/organization/ezytruk-solutions-private,"Bengaluru, Karnataka, India","Logistics, Marketplace, Transportation",Angel,2017-01-17,10000000.0,INR,147254.0,1-10,10000000.0,INR,147254.0,1.0,,,,,,1.0,,,,For Profit,2015-01-01,,https://www.facebook.com/ezytruk/,https://www.linkedin.com/company/ezytruk-solutions-pvt-ltd,Seed,,,Less than $1M
483,NÃ¤ktergal,https://www.crunchbase.com/organization/naktergal-financial-technology,"Stockholm, Stockholms Lan, Sweden","FinTech, Information Technology",Angel,2019-04-22,5500000.0,SEK,591161.0,1-10,1141161.0,USD,1141161.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/naktergaltech,https://www.facebook.com/naktergaltech/,https://www.linkedin.com/company/naktergal/,Seed,,,Less than $1M
627,Lawyered,https://www.crunchbase.com/organization/lawyered-2,"Gurgaon, Haryana, India","Legal, Legal Tech",Angel,2019-10-31,100000.0,USD,100000.0,11-50,150000.0,USD,150000.0,2.0,Made Acquisitions,,,1.0,,2.0,,,,For Profit,2015-01-01,https://twitter.com/LawyeredTweets,https://www.facebook.com/lawyered.in,https://www.linkedin.com/company/lawyered,Seed,,,Less than $1M
706,Door of Clubs,https://www.crunchbase.com/organization/door-of-clubs,"Boston, Massachusetts, United States","College Recruiting, Education, Human Resources, Internet, Recruiting, Software",Angel,2016-08-25,250000.0,USD,250000.0,1-10,500000.0,USD,500000.0,2.0,,,,,,4.0,,,,For Profit,2015-01-01,https://www.twitter.com/doorofclubs,https://www.facebook.com/doorofclubs,https://www.linkedin.com/company/door-of-clubs,Seed,,,Less than $1M
712,GoodBuyAuto,https://www.crunchbase.com/organization/goodbuyauto,"Milano, Lombardia, Italy","Automotive, Consulting, E-Commerce, Wholesale",Angel,2016-11-23,1000000.0,EUR,1054463.0,11-50,2500000.0,EUR,2704339.0,2.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/goodbuyauto,https://www.facebook.com/GoodBuyAutoItaly,https://www.linkedin.com/company/goodbuyauto,Seed,,,Less than $1M
