,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
28,Simpl,https://www.crunchbase.com/organization/simpl-2,"Bangalore, Karnataka, India","Financial Services, Lending, Payments",Convertible Note,2018-12-18,4200000.0,USD,4200000.0,101-250,16900000.0,USD,16900000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/getsimpl,https://www.facebook.com/getsimpl,https://www.linkedin.com/company/get-simpl,Early Stage Venture,,,Less than $1M
158,Captiv8,https://www.crunchbase.com/organization/captiv8-2,"San Francisco, California, United States","Social Media, Software",Convertible Note,2016-11-03,,,,11-50,4000000.0,USD,4000000.0,4.0,,,,,,4.0,,,,For Profit,2015-01-01,https://twitter.com/captiv8labs,https://www.facebook.com/captiv8labs,https://www.linkedin.com/company/captiv8,Seed,,,Less than $1M
189,Tueo Health,https://www.crunchbase.com/organization/tueo-health,"Redwood City, California, United States","Health Care, Medical, Medical Device, Personal Health",Convertible Note,2018-05-18,,,,1-10,1100000.0,USD,1100000.0,4.0,Was Acquired,Apple,https://www.crunchbase.com/organization/apple,,,4.0,,,,For Profit,2015-01-01,https://twitter.com/tueohealth,,https://www.linkedin.com/company-beta/7794264/,M&A,Acquisition,2019-05-24,Less than $1M
204,Observa,https://www.crunchbase.com/organization/observa,"Seattle, Washington, United States","Analytics, Artificial Intelligence, Image Recognition, Information Services, Mobile Apps, Real Time, Retail Technology",Convertible Note,2020-03-31,725000.0,USD,725000.0,11-50,2026000.0,USD,2026000.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/observanow,https://www.facebook.com/observanow,https://www.linkedin.com/company/observa,Seed,,,Less than $1M
243,Avision,https://www.crunchbase.com/organization/avision-robotics,"Santa Monica, California, United States","Air Transportation, Drone Management, Enterprise Software, Logistics, Robotics",Convertible Note,2018-05-01,600000.0,USD,600000.0,11-50,1000000.0,USD,1000000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/AvisionRobotics,https://www.facebook.com/AvisionRobotics,https://www.linkedin.com/company/avisionrobotics,Seed,,,Less than $1M
254,Hivemapper,https://www.crunchbase.com/organization/hivemapper,"Burlingame, California, United States","Artificial Intelligence, Geospatial, Navigation, Software",Convertible Note,2017-01-01,,,,11-50,2900000.0,USD,2900000.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/hivemapper,https://www.facebook.com/hivemapper/,https://www.linkedin.com/company/hivemapper,Seed,,,Less than $1M
268,Healthy Roster,https://www.crunchbase.com/organization/healthy-roster,"Dublin, Ohio, United States","Children, Health Care, Wellness",Convertible Note,2019-09-01,1500000.0,USD,1500000.0,11-50,3400000.0,USD,3400000.0,4.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/healthyroster,https://www.facebook.com/healthyroster,https://www.linkedin.com/company/healthy-roster,Seed,,,Less than $1M
272,Doki Technologies,https://www.crunchbase.com/organization/doki-technologies,"Kowloon City, Kowloon, Hong Kong","Hardware, Internet of Things, Mobile, Software, Telecommunications",Convertible Note,2018-11-01,400000.0,USD,400000.0,11-50,1300000.0,USD,1300000.0,3.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/dokitec,https://www.facebook.com/dokitec,https://www.linkedin.com/company/doki-technologies,Seed,,,Less than $1M
326,STRAX Intelligence Group,https://www.crunchbase.com/organization/eagleeye-intelligence-llc,"Boca Raton, Florida, United States","Analytics, Communications Infrastructure, Data Integration, Drone Management, Drones, GovTech, Machine Learning, Physical Security, Smart Cities, Software",Convertible Note,2019-01-01,4700000.0,USD,4700000.0,11-50,18931000.0,USD,18931000.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/STRAXIntel,https://www.facebook.com/STRAXIntelligence/,https://www.linkedin.com/company/straxintelligencegroup/,Early Stage Venture,,,Less than $1M
364,CoLoadX,https://www.crunchbase.com/organization/coloadx,"New York, New York, United States","B2B, Business Development, Logistics, Marketplace, Shipping, Supply Chain Management, Transportation",Convertible Note,2017-05-17,700000.0,USD,700000.0,1-10,1200000.0,USD,1200000.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/coloadx,https://www.facebook.com/coloadx,https://www.linkedin.com/company/10823901,Seed,,,Less than $1M
366,Voyajoy,https://www.crunchbase.com/organization/voyajoy,"San Francisco, California, United States","E-Commerce, Hospitality, Real Estate, Rental",Convertible Note,2017-11-01,969000.0,USD,969000.0,1-10,1094000.0,USD,1094000.0,2.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/voyajoy?lang=en,https://www.facebook.com/Voyajoy-849856361767759/,https://www.linkedin.com/company/voyajoy,Seed,,,Less than $1M
377,A4Everyone,https://www.crunchbase.com/organization/a4everyone,"Sofia, Grad Sofiya, Bulgaria","Analytics, Information Technology, Small and Medium Businesses",Convertible Note,2019-12-12,565000.0,EUR,631865.0,1-10,990000.0,EUR,1083992.0,3.0,,,,,,5.0,,,,For Profit,2015-01-01,https://twitter.com/A4_Everyone,https://www.facebook.com/a4everyone,https://www.linkedin.com/company/a4everyone,Seed,,,Less than $1M
405,X2AI,https://www.crunchbase.com/organization/x2ai,"Amsterdam, Noord-Holland, The Netherlands","Artificial Intelligence, Health Care, Hospital",Convertible Note,2015-09-28,100000.0,USD,100000.0,1-10,100000.0,USD,100000.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/X2_AI,https://www.facebook.com/X2AI.emotion,https://www.linkedin.com/company/x2ai,Seed,,,Less than $1M
414,CariClub,https://www.crunchbase.com/organization/cariclub,"New York, New York, United States","Human Resources, Millennials, Professional Networking, Social Entrepreneurship",Convertible Note,2018-04-30,,,,11-50,1300000.0,USD,1300000.0,3.0,,,,,,3.0,,,,For Profit,2015-01-01,https://www.twitter.com/joincariclub,https://www.facebook.com/cariclub,https://www.linkedin.com/company/cariclub,Seed,,,Less than $1M
454,Sestra Systems,https://www.crunchbase.com/organization/sestra-systems,"Sterling, Virginia, United States","Food and Beverage, Internet of Things",Convertible Note,2018-03-31,,,,11-50,10000000.0,USD,10000000.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/SestraSystems,https://www.facebook.com/sestrasys/,https://www.linkedin.com/in/kim-aubuchon-9b90981/,Early Stage Venture,,,Less than $1M
514,Ignition Design Labs,https://www.crunchbase.com/organization/ignition-design-labs,"San Francisco, California, United States","Internet, Internet of Things, Wireless",Convertible Note,2018-03-29,1500000.0,USD,1500000.0,11-50,22900000.0,USD,22900000.0,3.0,,,,,,4.0,,,,For Profit,2015-01-01,,,https://www.linkedin.com/company/ignition-design-labs,Early Stage Venture,,,Less than $1M
594,The Perfect Granola,https://www.crunchbase.com/organization/the-perfect-granola,"Victor, New York, United States","Food and Beverage, Health Care",Convertible Note,2020-04-02,10000.0,USD,10000.0,1-10,335000.0,USD,335000.0,6.0,,,,,,,,,,For Profit,2015-01-01,https://twitter.com/perfectgranola,https://www.facebook.com/perfectgranola/,https://www.linkedin.com/company/the-perfect-granola/,,,,Less than $1M
607,"Backbone Labs, Inc.",https://www.crunchbase.com/organization/backbone-labs-inc,"San Mateo, California, United States","Enterprise, Health Care, Health Diagnostics, Internet of Things",Convertible Note,2017-02-07,,,,1-10,467833.0,USD,467833.0,3.0,,,,,,3.0,,,,For Profit,2015-01-01,,,,Seed,,,Less than $1M
630,Snapbook,https://www.crunchbase.com/organization/snapbook,"Kuwait, Al Kuwayt, Kuwait","Apps, E-Commerce, Mobile, Photography, Printing, Publishing",Convertible Note,2019-05-01,1100000.0,USD,1100000.0,11-50,2750000.0,USD,2750000.0,4.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/snapbookstudio,https://www.facebook.com/snapbookstudio/,https://www.linkedin.com/company/snapbook,Seed,,,Less than $1M
