,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
144,CANOPY,https://www.crunchbase.com/organization/canopy-f5b7,"San Francisco, California, United States","Communities, Coworking",Corporate Round,2019-05-23,2000000.0,USD,2000000.0,11-50,2000000.0,USD,2000000.0,1.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/canopy_space,https://www.facebook.com/CANOPYSF/,https://www.linkedin.com/company/canopy-space/,,,,Less than $1M
292,Prodrone,https://www.crunchbase.com/organization/prodrone,"Nagoya, Aichi, Japan","Drone Management, Drones, Robotics, Video",Corporate Round,2018-04-09,,,,11-50,1000000000.0,JPY,8832088.0,2.0,,,,,,3.0,,,,For Profit,2015-01-01,,https://www.facebook.com/Prodrone-Co-Ltd-948527341930759,,,,,Less than $1M
557,Favy,https://www.crunchbase.com/organization/favy-2,"Tokyo, Tokyo, Japan","Apps, E-Commerce",Corporate Round,2018-09-29,1000000000.0,JPY,8795999.0,101-250,2031919002.0,JPY,18062779.0,5.0,,,,,,,,,,,2015-01-01,https://www.twitter.com/favy_jp,,https://www.linkedin.com/company/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80favy/about/,,,,Less than $1M
887,Fieldera,https://www.crunchbase.com/organization/fieldera,"Irvine, California, United States","Cloud Computing, Food and Beverage, Grocery, Last Mile Transportation, SaaS",Corporate Round,2016-01-02,2000000.0,USD,2000000.0,11-50,4000000.0,USD,4000000.0,2.0,,,,,,1.0,,,,For Profit,2015-01-01,,,https://www.linkedin.com/company/fieldera/,,,,Less than $1M
965,WeCan.Fund,https://www.crunchbase.com/organization/wecan-fund,"Geneva, Geneve, Switzerland","Blockchain, Contact Management, Crowdfunding, Developer APIs, Information Technology",Corporate Round,2019-01-15,2000000.0,CHF,2025700.0,1-10,2000000.0,CHF,2025700.0,1.0,,,,,,1.0,,,,For Profit,2015-01-01,https://www.twitter.com/we_can_fund,https://www.facebook.com/301336206742799,https://www.linkedin.com/company/5396649,,,,Less than $1M
1010,token,https://www.crunchbase.com/organization/token-2,"London, England, United Kingdom","FinTech, Payments, Software",Corporate Round,2019-06-18,16500000.0,USD,16500000.0,51-100,35000000.0,USD,35000000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/token_io,https://www.facebook.com/app.token.io,https://www.linkedin.com/company/token-inc-,,,,$1M to $10M
1041,Very Good Security,https://www.crunchbase.com/organization/very-good-security,"San Francisco, California, United States","Compliance, Network Security, Payments, Security",Corporate Round,2020-01-15,,,,51-100,44930000.0,USD,44930000.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/getvgs,https://www.facebook.com/getvgs/,https://www.linkedin.com/company/very-good-security/,,,,$1M to $10M
1057,Zeta,https://www.crunchbase.com/organization/zeta,"Bengaluru, Karnataka, India","Cloud Data Services, Corporate Training, Employee Benefits, FinTech, Gift, Human Resources, Payments",Corporate Round,2019-07-23,60000000.0,USD,60000000.0,251-500,60000000.0,USD,60000000.0,1.0,,,,,,2.0,,,,,2015-01-01,https://twitter.com/zetaindia,https://www.facebook.com/ZetaIndia/,https://www.linkedin.com/company/zeta.in,,,,$1M to $10M
1076,Shuttl,https://www.crunchbase.com/organization/shuttl,"Gurgaon, Haryana, India","Apps, Mobile, Software, Transportation",Corporate Round,2020-02-18,3000000.0,USD,3000000.0,251-500,122313022.0,USD,122313022.0,13.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/Shuttl_Ind,https://www.facebook.com/Shuttlindia,https://www.linkedin.com/company/shuttl,,,,$1M to $10M
1083,Trust Stamp,https://www.crunchbase.com/organization/trust-stamp,"Atlanta, Georgia, United States","Biometrics, FinTech, Fraud Detection, Identity Management, Personal Finance, Transaction Processing",Corporate Round,2020-01-30,,,,11-50,7725000.0,USD,7725000.0,9.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/truststamp,https://www.facebook.com/truststamp.net/,https://www.linkedin.com/company/10373549,,,,$1M to $10M
1089,Audiens,https://www.crunchbase.com/organization/audiens,"Milano, Lombardia, Italy","Big Data, Data Integration, Digital Marketing, Machine Learning, Marketing Automation, PaaS",Corporate Round,2020-04-21,6500000.0,GBP,7996043.0,11-50,9581231.0,USD,9581231.0,2.0,Was Acquired,Bango,https://www.crunchbase.com/organization/bango,,1834123.0,1.0,,1480000.0,EUR,For Profit,2015-01-01,,,,M&A,Acquisition,2018-01-24,$1M to $10M
1182,Fisdom,https://www.crunchbase.com/organization/fisdom,"Bangalore, Karnataka, India","Financial Services, FinTech, Information Technology",Corporate Round,2019-10-30,11000000.0,USD,11000000.0,11-50,16450863.0,USD,16450863.0,5.0,,,,,,4.0,,,,For Profit,2015-01-01,https://twitter.com/FisdomApp,https://www.facebook.com/Fisdom-922494977839939/,https://www.linkedin.com/company/fisdom,,,,$1M to $10M
1202,Redemption Games,https://www.crunchbase.com/organization/redemption-games,"Carlsbad, California, United States","PC Games, Video Games",Corporate Round,2020-05-04,,,,11-50,5000000.0,USD,5000000.0,2.0,,,,,,2.0,,,,,2015-01-01,,,,,,,$1M to $10M
1218,DailyNinja,https://www.crunchbase.com/organization/daily-ninja,"Bengaluru, Karnataka, India","Apps, Food Delivery, Mobile, Mobile Apps, Snack Food",Corporate Round,2020-04-24,267000000.0,INR,3498519.0,11-50,13699432.0,USD,13699432.0,6.0,"Made Acquisitions, Was Acquired",BigBasket,https://www.crunchbase.com/organization/bigbasket-com,2.0,,2.0,,,,For Profit,2015-01-01,https://twitter.com/dailyninjaapp,https://www.facebook.com/DailyNinjaApp/,https://www.linkedin.com/company/dailyninja/,M&A,Acquisition,2020-03-24,$1M to $10M
1289,PlainID,https://www.crunchbase.com/organization/plainid,"Tel Aviv, Tel Aviv, Israel","Business Intelligence, Compliance, Cyber Security, Identity Management, Information Technology",Corporate Round,2020-02-03,,,,11-50,13000000.0,USD,13000000.0,3.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/plainID_authZ,https://www.facebook.com/PlainID/,https://www.linkedin.com/company/plainid,,,,$1M to $10M
1313,OVO,https://www.crunchbase.com/organization/ovo-2,"Sydney, New South Wales, Australia","Broadcasting, Media and Entertainment, Mobile, Music Streaming, Telecommunications, Video Streaming",Corporate Round,2018-01-17,5000000.0,AUD,3985648.0,11-50,5000000.0,AUD,3985648.0,1.0,Made Acquisitions,,,1.0,,1.0,,,,For Profit,2015-01-01,https://twitter.com/OVOplay,https://www.facebook.com/OVOplay/,https://www.linkedin.com/company-beta/6610704/,,,,$1M to $10M
1333,FOLIO,https://www.crunchbase.com/organization/folio-8c62,"Tokyo, Tokyo, Japan","Financial Services, Stock Exchanges",Corporate Round,2019-01-17,,,,51-100,9100000000.0,JPY,81577047.0,4.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/folio_sec,https://www.facebook.com/folio.sec/,,,,,$1M to $10M
