,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
2,Instabox,https://www.crunchbase.com/organization/instabox,"HÃ¤gersten, Stockholms Lan, Sweden","Logistics, Shipping, Supply Chain Management",Debt Financing,2020-04-08,23000000.0,EUR,24978252.0,101-250,47057093.0,USD,47057093.0,5.0,,,,,,3.0,,,,For Profit,2015-01-01,,https://www.facebook.com/instabox.se,https://www.linkedin.com/company/instabox-ab/,,,,Less than $1M
61,CreditStacks,https://www.crunchbase.com/organization/credit-stacks,"San Francisco, California, United States","Banking, Credit Cards, Financial Services, FinTech, Risk Management",Debt Financing,2019-11-08,100000000.0,USD,100000000.0,11-50,114000000.0,USD,114000000.0,5.0,,,,,,4.0,,,,For Profit,2015-01-01,https://twitter.com/CreditStacks,https://www.facebook.com/creditstacks/,https://www.linkedin.com/company/creditstacks,Early Stage Venture,,,Less than $1M
172,Elevate K-12,https://www.crunchbase.com/organization/elevate-k-12,"Chicago, Illinois, United States","E-Learning, Education",Debt Financing,2020-02-01,1250000.0,USD,1250000.0,101-250,6951061.0,USD,6951061.0,4.0,,,,,,1.0,,,,For Profit,2015-01-01,https://www.twitter.com/elevatek12,https://www.facebook.com/elevatek12,https://www.linkedin.com/company/elevate-learning/,Early Stage Venture,,,Less than $1M
207,WOOM,https://www.crunchbase.com/organization/woom-fertility,"Madrid, Madrid, Spain","Apps, Artificial Intelligence, Health Care, Lifestyle, mHealth, Wellness",Debt Financing,2019-04-20,200000.0,EUR,224909.0,11-50,1960000.0,EUR,2192845.0,8.0,,,,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/woomfertility,https://www.facebook.com/woom-fertility-240405349628911,https://www.linkedin.com/company/woom-fertility,Seed,,,Less than $1M
228,Misen,https://www.crunchbase.com/organization/misen,"Brooklyn, New York, United States","Consumer Goods, Cooking, E-Commerce, Food Processing, Product Design",Debt Financing,2020-03-06,1025000.0,USD,1025000.0,11-50,3065000.0,USD,3065000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/misenkitchen,https://www.facebook.com/misenkitchen/,https://www.linkedin.com/company/misen-co/,Seed,,,Less than $1M
241,Creze,https://www.crunchbase.com/organization/creze,"Mexico City, Distrito Federal, Mexico","Finance, Financial Services, FinTech, Information Technology",Debt Financing,2018-07-01,5000000.0,USD,5000000.0,1-10,5000000.0,USD,5000000.0,3.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/CrezeLatam,https://www.facebook.com/CrezeLatam/,https://www.linkedin.com/company/creze/,Early Stage Venture,,,Less than $1M
298,Beachy,https://www.crunchbase.com/organization/beachy-2,"Nashville, Tennessee, United States","E-Commerce, Logistics, Mapping Services, Mobile Payments, Point of Sale, SaaS, Travel",Debt Financing,2019-12-16,1000000.0,USD,1000000.0,11-50,6250000.0,USD,6250000.0,4.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/beachyapp,https://www.facebook.com/beachyapp/,https://www.linkedin.com/company/beachy-app,Seed,,,Less than $1M
320,Design Pickle,https://www.crunchbase.com/organization/design-pickle,"Scottsdale, Arizona, United States","Graphic Design, Internet, Software",Debt Financing,2016-11-23,249519.0,USD,249519.0,1-10,249519.0,USD,249519.0,1.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/designpickle,https://www.facebook.com/designpickle,https://www.linkedin.com/company/design-pickle,,,,Less than $1M
381,Tapu.com,https://www.crunchbase.com/organization/tapu-com,"Besiktas, Istanbul, Turkey","Internet, Marketplace, Real Estate",Debt Financing,2019-12-31,250000.0,USD,250000.0,11-50,4355000.0,USD,4355000.0,6.0,,,,,,5.0,,,,For Profit,2015-01-01,https://twitter.com/tapu_com,https://www.facebook.com/tapucom,https://www.linkedin.com/company/tapu-com,Seed,,,Less than $1M
466,Sift Media,https://www.crunchbase.com/organization/siftmedia,"Durham, North Carolina, United States","Artificial Intelligence, Digital Media, Internet, Machine Learning, Mobile",Debt Financing,2020-02-11,1500000.0,USD,1500000.0,11-50,4690000.0,USD,4690000.0,2.0,,,,,,4.0,,,,For Profit,2015-01-01,https://twitter.com/siftrtb,https://www.facebook.com/siftmedia,https://www.linkedin.com/company/siftmedia,Early Stage Venture,,,Less than $1M
