,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
288,iintoo,https://www.crunchbase.com/organization/iintoo-investments,"New York, New York, United States","Industrial, Real Estate, Real Estate Investment",Equity Crowdfunding,2017-06-07,4500000.0,USD,4500000.0,11-50,4500000.0,USD,4500000.0,1.0,Made Acquisitions,,,1.0,,1.0,,,,For Profit,2015-01-01,https://twitter.com/iintoo_,https://www.facebook.com/pg/Getiintooit/about/?ref=page_internal,https://www.linkedin.com/company/iintoo/,,,,Less than $1M
289,TRIBE,https://www.crunchbase.com/organization/tribe-5,"London, England, United Kingdom","Delivery, Food and Beverage, Nutrition",Equity Crowdfunding,2019-07-22,1402230.0,GBP,1748904.0,1-10,4897170.0,GBP,6255375.0,3.0,,,,,,4.0,,,,For Profit,2015-01-01,https://twitter.com/thetribeway,https://www.facebook.com/pg/thetribeway/about/?ref=page_internal,,,,,Less than $1M
488,Keezel,https://www.crunchbase.com/organization/keezel,"Amsterdam, Noord-Holland, The Netherlands","B2B, Cyber Security, Electronics, Hardware, Internet, Network Hardware, Network Security, Security, Software",Equity Crowdfunding,2020-01-04,215883.0,USD,215883.0,1-10,2565938.0,USD,2565938.0,5.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/keezelco,https://www.facebook.com/Keezel-986939261325092/,https://www.linkedin.com/company/keezel,,,,Less than $1M
538,ONO 3D,https://www.crunchbase.com/organization/olo-3d,"San Francisco, California, United States","3D Printing, Electronics, Mobile",Equity Crowdfunding,2018-11-06,42825.0,USD,42825.0,11-50,2842825.0,USD,2842825.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/ono3d,https://www.facebook.com/ono3d,,,,,Less than $1M
572,HireHand,https://www.crunchbase.com/organization/hirehand,"London, England, United Kingdom","Business Development, Human Resources, Internet, Staffing Agency",Equity Crowdfunding,2019-10-15,1014195.0,GBP,1294117.0,11-50,1839195.0,GBP,2422073.0,4.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/hire_hand,https://www.facebook.com/hirehand/,https://www.linkedin.com/company/hirehand/,,,,Less than $1M
584,Plugify,https://www.crunchbase.com/organization/plugify,"Amsterdam, Noord-Holland, The Netherlands","Audio, Media and Entertainment, Music, Music Streaming, Music Venues, Performing Arts",Equity Crowdfunding,2016-09-14,745690.0,EUR,838607.0,11-50,745690.0,EUR,838607.0,1.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/Plugifyclub,https://www.facebook.com/plugify,https://www.linkedin.com/company/plugify,,,,Less than $1M
654,Prime Lightworks,https://www.crunchbase.com/organization/prime-lightworks,"Culver City, California, United States","Electronics, Manufacturing, Satellite Communication",Equity Crowdfunding,2020-02-25,,,,1-10,120000.0,USD,120000.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,,,https://www.linkedin.com/company/prime-lightworks-inc./,,,,Less than $1M
802,Playtonic Games,https://www.crunchbase.com/organization/playtonic-games,"Derby, Derby, United Kingdom","Digital Entertainment, Gaming, Video Games",Equity Crowdfunding,2015-01-01,2100000.0,GBP,3260353.0,11-50,2100000.0,GBP,3260353.0,1.0,,,,,,1.0,,,,,2015-01-01,https://twitter.com/@PlaytonicGames,https://www.facebook.com/playtonicgames,https://www.linkedin.com/company/playtonic-ltd/,,,,Less than $1M
836,Spacehop,https://www.crunchbase.com/organization/spacehop,"London, England, United Kingdom","Commercial Real Estate, Coworking, Marketplace, Sharing Economy, Small and Medium Businesses",Equity Crowdfunding,2016-06-27,60890.0,GBP,80510.0,1-10,130510.0,USD,130510.0,2.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/spacehopltd,https://www.facebook.com/spacehopltd/,https://www.linkedin.com/company/spacehop,,,,Less than $1M
890,Sustainer Homes,https://www.crunchbase.com/organization/sustainer-homes,"Utrecht, Utrecht, The Netherlands","Architecture, Sustainability",Equity Crowdfunding,2018-02-01,596000.0,EUR,745644.0,11-50,611000.0,EUR,762072.0,2.0,,,,,,4.0,,,,For Profit,2015-01-01,https://www.twitter.com/sustainerhomes,https://www.facebook.com/sustainerhomes,https://www.linkedin.com/company/10068741,,,,Less than $1M
904,TheFoodMarket,https://www.crunchbase.com/organization/thefoodmarket,"London, England, United Kingdom","E-Commerce, Food and Beverage, Internet, Organic Food",Equity Crowdfunding,2017-04-25,359100.0,GBP,460818.0,1-10,359100.0,GBP,460818.0,1.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/thefoodmarketuk,https://www.facebook.com/pg/TheFoodMarket/about/?ref=page_internal,https://www.linkedin.com/company-beta/4995752/?pathWildcard=4995752,,,,Less than $1M
993,Little Yellow Bird,https://www.crunchbase.com/organization/little-yellow-bird,"Wellington, Wellington, New Zealand",Fashion,Equity Crowdfunding,2019-06-20,472818.0,NZD,311193.0,1-10,1511193.0,USD,1511193.0,2.0,,,,,,1.0,,,,,2015-01-01,https://twitter.com/lyb_uniforms,https://www.facebook.com/littleyellowbirdnz/,https://www.linkedin.com/company/little-yellow-bird-ltd,,,,Less than $1M
1135,Paysend,https://www.crunchbase.com/organization/paysend,"London, England, United Kingdom","Finance, Financial Services, FinTech, Mobile Payments, Payments",Equity Crowdfunding,2019-07-22,10709113.0,GBP,13356739.0,51-100,33356739.0,USD,33356739.0,3.0,Made Acquisitions,,,1.0,,1.0,,,,For Profit,2015-01-01,https://twitter.com/paysendglobal,https://www.facebook.com/paysendcom/,https://www.linkedin.com/company/paysend/about/,,,,$1M to $10M
1235,Circle Medical,https://www.crunchbase.com/organization/circle-medical-2,"San Francisco, California, United States","Fitness, Health Care, Insurance, Wellness",Equity Crowdfunding,2019-03-01,,,,11-50,12512858.0,USD,12512858.0,4.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/circlemd,https://www.facebook.com/circlemedical,https://www.linkedin.com/company/circle-medical,,,,$1M to $10M
1299,EkWateur,https://www.crunchbase.com/organization/ekwateur,"Paris, Ile-de-France, France","E-Commerce, Environmental Consulting, Renewable Energy, Retail",Equity Crowdfunding,2020-04-02,1500000.0,EUR,1626906.0,11-50,17528857.0,EUR,19645469.0,6.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/ekwateur,https://fr-fr.facebook.com/ekWateur/,https://www.linkedin.com/company/joul-&-cie/about/,,,,$1M to $10M
1374,The Sun Exchange,https://www.crunchbase.com/organization/the-sun-exchange-2,"Cape Town, NA - South Africa, South Africa","Blockchain, Crowdfunding, Internet of Things, Peer to Peer, Solar",Equity Crowdfunding,2019-11-01,4557000.0,ZAR,303223.0,1-10,3663223.0,USD,3663223.0,8.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/TheSunExchange,https://www.facebook.com/thesunexchange,https://www.linkedin.com/company/the-sun-exchange/,,,,$1M to $10M
1490,The GP Service,https://www.crunchbase.com/organization/the-gp-service,"Coventry, Coventry, United Kingdom","Internet, Medical, Pharmaceutical",Equity Crowdfunding,2020-03-20,750000.0,GBP,873750.0,11-50,5250000.0,GBP,6998952.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/thegpservice,https://www.facebook.com/thegpservice/,https://www.linkedin.com/company/the-gp-service-uk-/,,,,$1M to $10M
1568,LuckyTrip,https://www.crunchbase.com/organization/luckytrip,"London, England, United Kingdom","Artificial Intelligence, Mobile Apps, Travel",Equity Crowdfunding,2019-10-30,1500000.0,GBP,1935141.0,11-50,3414240.0,GBP,4407076.0,6.0,,,,,,3.0,,,,For Profit,2015-01-01,https://www.twitter.com/luckytripapp,https://www.facebook.com/luckytrip,https://www.linkedin.com/company/luckytrip,,,,$1M to $10M
1607,VITL,https://www.crunchbase.com/organization/vitl,"Farnham, Surrey, United Kingdom","Content, Fitness, Food and Beverage, Health Care, Nutrition",Equity Crowdfunding,2018-04-01,908950.0,GBP,1275832.0,1-10,908950.0,GBP,1275832.0,4.0,,,,,,1.0,,,,For Profit,2015-01-01,https://www.twitter.com/vitlhealth,https://www.facebook.com/vitlhealth,,,,,$1M to $10M
1665,Ideal Flatmate,https://www.crunchbase.com/organization/ideal-flatmate,"London, England, United Kingdom","Lifestyle, Real Estate, Rental Property, Social Network",Equity Crowdfunding,2019-09-25,998161.0,GBP,1233611.0,1-10,2248161.0,GBP,2894923.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/idealflatmate,https://www.facebook.com/idealflatmate/,https://www.linkedin.com/company/ideal-flatmate,,,,$1M to $10M
1697,Growthdeck,https://www.crunchbase.com/organization/growthdeck,"London, England, United Kingdom","Angel Investment, Financial Services, Venture Capital",Equity Crowdfunding,2019-06-25,3500000.0,GBP,4441573.0,11-50,4500000.0,GBP,5895364.0,2.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/growthdeck,,https://www.linkedin.com/company/growthdeck/,,,,$1M to $10M
1698,Mr Lee's Pure Foods Co,https://www.crunchbase.com/organization/mr-lee-s-pure-foods-co,"Bournemouth, Bournemouth, United Kingdom","Food and Beverage, Food Processing, Health Care",Equity Crowdfunding,2020-04-28,1750000.0,GBP,2176070.0,11-50,2127426.0,GBP,2664459.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/MrLeesPureFoods?lang=en,https://www.facebook.com/mrleespurefoods/,https://www.linkedin.com/company/mr-lee's-noodles-company-ltd/,,,,$1M to $10M
