,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
169,ImpactVision,https://www.crunchbase.com/organization/impactvision,"San Francisco, California, United States","Agriculture, AgTech, Farming, Food and Beverage, Food Processing, Information Technology, Machine Learning, Sensor, Software",Grant,2019-01-01,71429.0,EUR,81868.0,1-10,2781868.0,USD,2781868.0,5.0,,,,,,3.0,,,,For Profit,2015-01-01,https://www.twitter.com/seeimpactvision,,https://www.linkedin.com/company/impactvi/,Seed,,,Less than $1M
213,iSono Health,https://www.crunchbase.com/organization/isono-health,"San Francisco, California, United States","Artificial Intelligence, Health Care, Medical Device",Grant,2019-09-30,750000.0,USD,750000.0,11-50,4620000.0,USD,4620000.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/isonohealth,https://www.facebook.com/isonohealth/?fref=ts,https://www.linkedin.com/company/6453013?trk=prof-exp-company-name,Seed,,,Less than $1M
293,Peanut Butter,https://www.crunchbase.com/organization/peanut-butter-inc,"Chicago, Illinois, United States","B2B, Employee Benefits, FinTech, Human Resources",Grant,2019-11-07,500000.0,USD,500000.0,11-50,2185000.0,USD,2185000.0,3.0,,,,,,1.0,,,,For Profit,2015-01-01,https://www.twitter.com/peanutbutterget,https://www.facebook.com/getpeanutbutter,https://www.linkedin.com/company/peanut-butter-inc-,,,,Less than $1M
345,Spinal Singularity,https://www.crunchbase.com/organization/spinal-singularity,"San Clemente, California, United States","Impact Investing, Medical Device, Neuroscience, Personalization",Grant,2019-07-09,3624315.0,USD,3624315.0,1-10,13320423.0,USD,13320423.0,9.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/spinularity,https://www.facebook.com/Spinal-Singularity-1482323158730078,https://www.linkedin.com/company/spinal-singularity,Seed,,,Less than $1M
360,Vandersat,https://www.crunchbase.com/organization/vandersat-b-v,"Haarlem, Noord-Holland, The Netherlands","Agriculture, Analytics, Information Technology, Insurance, Natural Resources, Satellite Communication",Grant,2017-10-01,1340063.0,EUR,1582457.0,11-50,1340063.0,EUR,1582457.0,1.0,,,,,,2.0,,,,,2015-01-01,https://mobile.twitter.com/VanderSatNL,,https://www.linkedin.com/company/vandersat/,,,,Less than $1M
412,EARTH-i,https://www.crunchbase.com/organization/earth-i,"Guildford, Surrey, United Kingdom","Aerospace, Space Travel",Grant,2018-02-20,2700000.0,GBP,3779934.0,51-100,2700000.0,GBP,3779934.0,1.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/earthi_,,https://www.linkedin.com/company/earth-i/,,,,Less than $1M
458,Ladimo,https://www.crunchbase.com/organization/ladimo,"Espoo, Southern Finland, Finland","Computer Vision, Industrial Automation, Machine Learning",Grant,2019-09-20,1670000.0,EUR,1840291.0,1-10,1670000.0,EUR,1840291.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,,https://www.facebook.com/Ladimo-1138643326196710/,https://www.linkedin.com/company/ladimo-oy/,Seed,,,Less than $1M
475,Farm Dog,https://www.crunchbase.com/organization/farm-dog,"Los Angeles, California, United States","Agriculture, Cloud Data Services, Farming",Grant,2018-01-30,660000.0,USD,660000.0,1-10,1731706.0,USD,1731706.0,6.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/farmdogag,https://facebook.com/farmdogag,https://www.linkedin.com/company/farm-dog,Seed,,,Less than $1M
496,MediSieve,https://www.crunchbase.com/organization/medisieve,"London, England, United Kingdom","Biotechnology, Health Care, Medical Device, Therapeutics",Grant,2019-01-30,1560000.0,GBP,2046132.0,11-50,5317304.0,USD,5317304.0,8.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/MediSieve,,https://www.linkedin.com/company-beta/9257287/?pathWildcard=9257287,Early Stage Venture,,,Less than $1M
522,RebelRoam,https://www.crunchbase.com/organization/rebelroam,"Tallinn, Harjumaa, Estonia","Internet, Software, Telecommunications, Transportation, Wireless",Grant,2018-04-01,1957500.0,EUR,2410325.0,11-50,1957500.0,EUR,2410325.0,2.0,,,,,,4.0,,,,For Profit,2015-01-01,,https://www.facebook.com/rebelroam/,https://www.linkedin.com/company/rebelroam/,Seed,,,Less than $1M
524,Carl Data Solutions,https://www.crunchbase.com/organization/carl-data-solutions,"Vancouver, British Columbia, Canada","Industrial, Information Technology, Internet of Things, Marketing",Grant,2017-12-11,300000.0,USD,300000.0,11-50,300000.0,USD,300000.0,1.0,Made Acquisitions,,,2.0,,3.0,,,,,2015-01-01,https://twitter.com/carl_bdaas,https://www.facebook.com/CarlDataSolutions,https://www.linkedin.com/company/6375021/,IPO,,,Less than $1M
539,Epic CleanTec,https://www.crunchbase.com/organization/epic-cleantec,"San Francisco, California, United States","CleanTech, Green Building, Health Care, Natural Resources, Real Estate, Sustainability, Waste Management, Water",Grant,2018-09-14,5000.0,USD,5000.0,1-10,1167000.0,USD,1167000.0,5.0,,,,,,4.0,,,,For Profit,2015-01-01,https://www.twitter.com/epiccleantec,,https://www.linkedin.com/company/epic-cleantec,Seed,,,Less than $1M
549,Filterlex Medical,https://www.crunchbase.com/organization/filterlex-medical-ltd,"Yoqne`am `illit, HaZafon, Israel","Biotechnology, Health Care, Health Diagnostics",Grant,2019-09-23,2100000.0,EUR,2308770.0,1-10,6290217.0,USD,6290217.0,4.0,,,,,,2.0,,,,,2015-01-01,,,,Early Stage Venture,,,Less than $1M
570,Rendever,https://www.crunchbase.com/organization/rendever,"Cambridge, Massachusetts, United States","Fitness, Health Care, Virtual Reality, Wellness",Grant,2017-06-13,40000.0,USD,40000.0,1-10,40000.0,USD,40000.0,2.0,,,,,,4.0,,,,For Profit,2015-01-01,https://twitter.com/rendeverhealth,https://www.facebook.com/rendever,https://www.linkedin.com/company/rendever,,,,Less than $1M
602,Pro-Drone,https://www.crunchbase.com/organization/pro-drone,"Porto Salvo, Lisboa, Portugal","Drone Management, Drones, Industrial Automation, Infrastructure, Machine Learning, Renewable Energy",Grant,2017-09-01,50000.0,EUR,59309.0,1-10,650000.0,EUR,730417.0,3.0,,,,,,1.0,,,,For Profit,2015-01-01,https://www.twitter.com/prodrone1,https://www.facebook.com/ProDroneflight/,https://www.linkedin.com/company/pro-drone,Seed,,,Less than $1M
664,scibac,https://www.crunchbase.com/organization/scibac,"Burlingame, California, United States","Biotechnology, Health Care, Therapeutics",Grant,2019-07-09,286530.0,USD,286530.0,1-10,4046530.0,USD,4046530.0,2.0,,,,,,,,,,,2015-01-01,https://twitter.com/SciBacInc,https://www.facebook.com/SciBacInc/,,,,,Less than $1M
665,Robodub,https://www.crunchbase.com/organization/robodub-inc,"Bellevue, Washington, United States","Gaming, Robotics, Video Games",Grant,2019-11-07,500000.0,USD,500000.0,1-10,620000.0,USD,620000.0,2.0,,,,,,1.0,,,,For Profit,2015-01-01,https://www.twitter.com/robodubinc,https://www.facebook.com/robodubinc,https://www.linkedin.com/company/robodub-inc-/,Seed,,,Less than $1M
677,Grundium,https://www.crunchbase.com/organization/grundium,"Tampere, Western Finland, Finland","Information Services, Information Technology",Grant,2018-07-01,2786250.0,EUR,3254204.0,11-50,4786250.0,EUR,5632803.0,2.0,,,,,,2.0,,,,,2015-01-01,https://twitter.com/grundium?lang=en,https://www.facebook.com/grundium/,https://www.linkedin.com/company/grundium/,,,,Less than $1M
708,Pregnolia,https://www.crunchbase.com/organization/pregnolia,"ZÃ¼rich, Zurich, Switzerland","Intelligent Systems, Medical Device",Grant,2019-12-09,20000.0,CHF,20244.0,1-10,3819882.0,USD,3819882.0,6.0,,,,,,2.0,,,,For Profit,2015-01-01,,,https://www.linkedin.com/company/pregnolia-ag/,Seed,,,Less than $1M
736,AccessNow,https://www.crunchbase.com/organization/accessnow-9513,"Toronto, Ontario, Canada","Information Services, Information Technology",Grant,2019-08-01,2700000.0,USD,2700000.0,1-10,2710000.0,USD,2710000.0,2.0,,,,,,1.0,,,,,2015-01-01,https://twitter.com/accessnowapp,https://www.facebook.com/AccessNowApp/,https://www.linkedin.com/company/accessnow/,Seed,,,Less than $1M
752,Healum,https://www.crunchbase.com/organization/healum,"London, England, United Kingdom","Health Care, Information Technology, Software",Grant,2019-06-07,536103.0,GBP,682833.0,1-10,636068.0,GBP,815519.0,4.0,,,,,,2.0,,,,,2015-01-01,,,https://www.linkedin.com/company/healum/,Seed,,,Less than $1M
758,Hugo,https://www.crunchbase.com/organization/hugo,"Amsterdam, Noord-Holland, The Netherlands","Analytics, Big Data, E-Commerce Platforms, Events",Grant,2015-07-24,210000.0,EUR,230530.0,1-10,336000.0,EUR,373364.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/hugo_events,https://www.facebook.com/hugotoevents,,,,,Less than $1M
766,QÂ°emotion,https://www.crunchbase.com/organization/qemotion,"Troyes, Champagne-Ardenne, France","Big Data, Customer Service, Information Technology, SaaS",Grant,2019-03-27,200000.0,EUR,225045.0,11-50,814000.0,EUR,909544.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/qemotionapp,https://www.facebook.com/qemotionproject,https://www.linkedin.com/company/qemotion,Seed,,,Less than $1M
781,TheMotion,https://www.crunchbase.com/organization/themotion,"Madrid, Madrid, Spain","Ad Retargeting, Digital Media, Software, Video",Grant,2017-07-01,1516375.0,EUR,1732396.0,11-50,1516375.0,EUR,1732396.0,3.0,,,,,,3.0,,,,For Profit,2015-01-01,https://www.twitter.com/themotionvideo,https://www.facebook.com/themotionvideo/,https://www.linkedin.com/company/themotion,Seed,,,Less than $1M
822,MobAppCreator,https://www.crunchbase.com/organization/mobappcreator,"Miami, Florida, United States","Android, iOS, Mobile",Grant,2013-12-01,133190.0,ARS,21703.0,1-10,428034.0,ARS,73691.0,2.0,,,,,,1.0,,,,For Profit,2015-01-01,http://twitter.com/mobappcreator,http://www.facebook.com/MobAppCreator,http://www.linkedin.com/company/mobapp-labs-s-a-,Seed,,,Less than $1M
830,VinSense,https://www.crunchbase.com/organization/vinsense,"West Lafayette, Indiana, United States","Agriculture, Organic, Software",Grant,2020-01-31,50000.0,USD,50000.0,11-50,550000.0,USD,550000.0,2.0,,,,,,1.0,,,,,2015-01-01,,,,,,,Less than $1M
876,nevisQ,https://www.crunchbase.com/organization/nevisq,"Aachen, Nordrhein-Westfalen, Germany","Hardware, Internet of Things, Software",Grant,2017-08-01,50000.0,EUR,59055.0,11-50,175000.0,EUR,194872.0,3.0,,,,,,4.0,,,,For Profit,2015-01-01,https://twitter.com/nevisq_ac,https://www.facebook.com/nevisQ/,https://www.linkedin.com/company/nevisq/,Seed,,,Less than $1M
920,Vizlegal,https://www.crunchbase.com/organization/vizlegal,"Dublin, Dublin, Ireland","Communities, Legal, Software",Grant,2018-09-01,71429.0,EUR,82941.0,1-10,371429.0,EUR,395538.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/Vizlegal,http://www.facebook.com/vizlegal,https://www.linkedin.com/company/vizlegal,Seed,,,Less than $1M
921,V-Sense Medical,https://www.crunchbase.com/organization/v-sense-medical,"San Francisco, California, United States","Health Care, Information Technology",Grant,2016-06-01,,,,1-10,250000.0,USD,250000.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/VSenseMedical,,https://www.linkedin.com/company/v-sense-medical-devices,Seed,,,Less than $1M
