,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
4,OPSkins,https://www.crunchbase.com/organization/opskins,"Santa Monica, California, United States","E-Commerce, Gaming, Internet",Initial Coin Offering,2017-11-13,41000000.0,USD,41000000.0,11-50,41000000.0,USD,41000000.0,1.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/opskinsgo,https://www.facebook.com/opskins,https://www.linkedin.com/company/opskins-com---marketplace,,,,Less than $1M
223,Tierion,https://www.crunchbase.com/organization/tierion,"Mountain View, California, United States","Bitcoin, Software",Initial Coin Offering,2017-07-31,25000000.0,USD,25000000.0,1-10,26000000.0,USD,26000000.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/tierion,https://www.facebook.com/pages/Tierion/1430447893927429,https://www.linkedin.com/company/tierion,,,,Less than $1M
1019,Brave,https://www.crunchbase.com/organization/brave-software,"San Francisco, California, United States","Advertising, Blockchain, Internet, Software, Web Browsers",Initial Coin Offering,2017-06-01,35000000.0,USD,35000000.0,51-100,42000000.0,USD,42000000.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/brave,https://www.facebook.com/bravesoftware,https://www.linkedin.com/company/brave-software/,,,,$1M to $10M
1304,Cardano Foundation,https://www.crunchbase.com/organization/cardano-foundation,"Zug, Zug, Switzerland","Application Performance Management, Bitcoin, Consumer Applications, Cryptocurrency, Developer APIs, Open Source",Initial Coin Offering,2018-01-01,10000.0,USD,10000.0,11-50,62246134.0,USD,62246134.0,3.0,,,,,,2.0,,,,Non-profit,2015-01-01,https://twitter.com/CardanoStiftung,https://facebook.com/CardanoFoundation/,https://www.linkedin.com/company/cardano-foundation/,,,,$1M to $10M
1348,DataWallet,https://www.crunchbase.com/organization/pnyks-inc-,"San Francisco, California, United States","FinTech, Internet, Mobile Apps, Software",Initial Coin Offering,2018-02-07,40000000.0,USD,40000000.0,11-50,42300000.0,USD,42300000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/datawallet,https://www.facebook.com/datawallet.io/,https://www.linkedin.com/company/4831801/,,,,$1M to $10M
1455,Cindicator,https://www.crunchbase.com/organization/c-indicator,"New York, New York, United States","Artificial Intelligence, Asset Management, Cryptocurrency, Hedge Funds, Machine Learning, Predictive Analytics",Initial Coin Offering,2017-10-31,15000000.0,USD,15000000.0,11-50,15750000.0,USD,15750000.0,3.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/Cindicator,https://www.facebook.com/crowdindicator,https://www.linkedin.com/company/10214709,,,,$1M to $10M
1690,LiveTree,https://www.crunchbase.com/organization/livetree,"London, England, United Kingdom","Charity, Crowdfunding, Financial Services",Initial Coin Offering,2018-03-22,11000000.0,USD,11000000.0,1-10,11000000.0,USD,11000000.0,1.0,,,,,,3.0,,,,For Profit,2015-01-01,https://www.twitter.com/livetreehq,,,,,,$1M to $10M
1696,Streamr,https://www.crunchbase.com/organization/streamr,"Zug, Zug, Switzerland","Data Integration, Database",Initial Coin Offering,2017-10-16,30000000.0,CHF,30757495.0,11-50,30000000.0,CHF,30757495.0,3.0,,,,,,2.0,,,,Non-profit,2015-01-01,https://twitter.com/streamrinc,https://www.facebook.com/streamrdata/,https://www.linkedin.com/company/streamr-network/about/,,,,$1M to $10M
1704,Internet of Services,https://www.crunchbase.com/organization/internet-of-services,"Singapore, Central Region, Singapore","Architecture, Blockchain, Internet",Initial Coin Offering,2018-01-15,40000000.0,USD,40000000.0,11-50,40000000.0,USD,40000000.0,4.0,Made Acquisitions,,,1.0,,3.0,,,,For Profit,2015-01-01,https://twitter.com/iostoken,,https://www.linkedin.com/company/iostproject/,,,,$1M to $10M
1717,Blackmoon Financial Group,https://www.crunchbase.com/organization/blackmoon-financial-group,"Moscow, Moscow City, Russian Federation","FinTech, Information Services, Information Technology, Internet",Initial Coin Offering,2018-04-10,30000000.0,USD,30000000.0,11-50,32500000.0,USD,32500000.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,,https://www.facebook.com/blackmoonfg,https://www.linkedin.com/company/blackmoon-financial-group,,,,$1M to $10M
