,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
389,Vitcord,https://www.crunchbase.com/organization/vitcord,"Valencia, Comunidad Valenciana, Spain","Apps, Mobile Apps",Non-equity Assistance,2019-11-15,,,,1-10,2293466.0,USD,2293466.0,3.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/vitcordlive,https://www.facebook.com/vitcord,https://www.linkedin.com/company/5351218,Seed,,,Less than $1M
698,Bridg,https://www.crunchbase.com/organization/bridg-2,"Dubai, Dubai, United Arab Emirates","Apps, E-Commerce, FinTech, Payments",Non-equity Assistance,2018-11-01,,,,1-10,165000.0,USD,165000.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/bridgtheapp,https://www.facebook.com/bridgtheapp,http://www.linkedin.com/company/bridg---the-app,Seed,,,Less than $1M
1409,Parker Dewey,https://www.crunchbase.com/organization/parker-dewey,"Chicago, Illinois, United States","Consulting, Education, Human Resources, Staffing Agency",Non-equity Assistance,2018-08-01,,,,11-50,720000.0,USD,720000.0,3.0,,,,,,1.0,,,,For Profit,2015-01-01,https://www.twitter.com/parkerdeweyllc,,https://www.linkedin.com/company/parker-dewey,,,,$1M to $10M
1700,el Grocer,https://www.crunchbase.com/organization/el-grocer,"Dubai, Dubai, United Arab Emirates","Apps, Grocery, Internet",Non-equity Assistance,2019-01-27,,,,11-50,550000.0,USD,550000.0,2.0,Made Acquisitions,,,1.0,,2.0,,,,For Profit,2015-01-01,https://twitter.com/elgrocer,https://www.facebook.com/elgrocer/,https://www.linkedin.com/company/el-grocer,,,,$1M to $10M
1843,YOP,https://www.crunchbase.com/organization/yop,"Buenos Aires, Distrito Federal, Argentina","E-Commerce, Logistics, Mobile",Non-equity Assistance,2016-11-22,50000.0,USD,50000.0,11-50,7450000.0,USD,7450000.0,4.0,,,,,,6.0,,,,For Profit,2015-01-01,https://www.twitter.com/yopland,https://www.facebook.com/yop.land,,Early Stage Venture,,,$1M to $10M
2052,Anchor,https://www.crunchbase.com/organization/anchor-fm,"New York, New York, United States","Apps, Audio, Broadcasting, Internet, Podcast",Non-equity Assistance,2018-02-01,,,,11-50,14400000.0,USD,14400000.0,5.0,Was Acquired,Spotify,https://www.crunchbase.com/organization/spotify,,140000000.0,2.0,,140000000.0,USD,For Profit,2015-01-01,https://twitter.com/anchor,https://www.facebook.com/anchor.fm/,https://www.linkedin.com/company/anchor-fm,M&A,Acquisition,2019-02-06,$10M to $50M
2469,Quinncia,https://www.crunchbase.com/organization/quinncia,"Boston, Massachusetts, United States","EdTech, Internet, Recruiting",Non-equity Assistance,2018-08-01,,,,1-10,560000.0,USD,560000.0,2.0,,,,,,2.0,,,,For Profit,2015-01-15,https://www.twitter.com/quinncia,https://www.facebook.com/quinncia.io,https://www.linkedin.com/company/quinncia,Seed,,,Less than $1M
2486,Kuddly,https://www.crunchbase.com/organization/kuddly,"Newport Beach, California, United States","Mobile, Veterinary",Non-equity Assistance,2015-11-01,,,,11-50,1500000.0,USD,1500000.0,3.0,,,,,,3.0,,,,For Profit,2015-01-02,http://twitter.com/KuddlyPets,http://facebook.com/KuddlyPets,https://www.linkedin.com/company/kuddly?trk=biz-companies-cym,Seed,,,Less than $1M
2538,Sur3D,https://www.crunchbase.com/organization/sur3d,"Novato, California, United States","3D Printing, 3D Technology, CAD, Retail, Retail Technology, Software",Non-equity Assistance,2015-06-02,50000.0,USD,50000.0,1-10,50000.0,USD,50000.0,1.0,,,,,,2.0,,,,For Profit,2015-01-15,https://twitter.com/sur3d,http://facebook.com/sur3dprint,https://www.linkedin.com/company/sur-3d,,,,Less than $1M
2542,LES GEORGES,https://www.crunchbase.com/organization/who-is-georges,"Tours, Champagne-Ardenne, France","Android, Apps, Events, iOS, Professional Networking, Wearables",Non-equity Assistance,2016-12-24,50000.0,EUR,52259.0,1-10,179000.0,EUR,195710.0,6.0,,,,,,2.0,,,,For Profit,2015-01-07,https://twitter.com/Whoisgeorges?,https://www.facebook.com/whoisgeorges?,https://www.linkedin.com/company/6393566?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A6393566%2Cidx%3A2-1-9%2CtarId%3A1473339792025%2Ctas%3Ales%20georges,Seed,,,Less than $1M
