,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
2081,Gossamer Bio,https://www.crunchbase.com/organization/gossamer-bio,"San Diego, California, United States","Biotechnology, Health Care, Therapeutics",Post-IPO Debt,2019-05-02,150000000.0,USD,150000000.0,101-250,480000000.0,USD,480000000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/gossamerbio,,https://www.linkedin.com/company/gossamer-bio/,IPO,,,$10M to $50M
11107,Avicanna,https://www.crunchbase.com/organization/avicanna-inc,"Toronto, Ontario, Canada","Biotechnology, Clinical Trials",Post-IPO Debt,2019-12-27,5000000.0,USD,5000000.0,11-50,6189546.0,USD,6189546.0,3.0,,,,,,1.0,,,,For Profit,2016-01-01,https://twitter.com/AvicannaInc,,https://ca.linkedin.com/company/avicanna,IPO,,,Less than $1M
12349,Halo Cannabis,https://www.crunchbase.com/organization/halo-cannabis,"Medford, Oregon, United States","Consumer Goods, Manufacturing",Post-IPO Debt,2019-04-04,18000000.0,CAD,13467509.0,11-50,14467509.0,USD,14467509.0,2.0,Made Acquisitions,,,4.0,,2.0,,,,For Profit,2016-01-01,,,https://www.linkedin.com/company/halo-cannabis/,IPO,,,$1M to $10M
12607,Aptevo Therapeutics,https://www.crunchbase.com/organization/aptevo-therapeutics,"Seattle, Washington, United States","Biometrics, Biopharma, Biotechnology",Post-IPO Debt,2016-08-01,35000000.0,USD,35000000.0,101-250,35000000.0,USD,35000000.0,1.0,,,,,,1.0,,,,For Profit,2016-01-01,,,,IPO,,,$1M to $10M
13055,MediPharm Labs,https://www.crunchbase.com/organization/medipharm-labs,"Barrie, Ontario, Canada","Cannabis, Pharmaceutical",Post-IPO Debt,2019-10-10,38700000.0,USD,38700000.0,101-250,38700000.0,USD,38700000.0,1.0,,,,,,,,,,For Profit,2016-01-01,https://twitter.com/MediPharmLabs,,https://www.linkedin.com/company/medipharm-labs/,IPO,,,$10M to $50M
13159,Sezzle,https://www.crunchbase.com/organization/sezzle-inc,"Minneapolis, Minnesota, United States","Computer, E-Commerce, Information Technology, Mobile Payments, Payments",Post-IPO Debt,2019-12-02,100000000.0,USD,100000000.0,51-100,216600000.0,USD,216600000.0,5.0,,,,,,4.0,,,,For Profit,2016-01-04,https://twitter.com/sezzleinc,https://www.facebook.com/sezzle,https://www.linkedin.com/company/sezzle,IPO,,,$1M to $10M
15112,Maven,https://www.crunchbase.com/organization/themaven-network-inc,"Seattle, Washington, United States","Advertising, Content, News, Publishing, Social, Social Media, Video",Post-IPO Debt,2020-03-30,12000000.0,USD,12000000.0,251-500,77625000.0,USD,77625000.0,6.0,Made Acquisitions,,,4.0,,3.0,,,,For Profit,2016-07-01,https://twitter.com/MavenCoalition,https://www.facebook.com/MavenNet/,https://www.linkedin.com/company/themaven-network-inc./,IPO,,,Less than $1M
17616,Bitfarms,https://www.crunchbase.com/organization/bitfarms,"Brossard, Quebec, Canada","Blockchain, Financial Services, FinTech, Information Services, Information Technology",Post-IPO Debt,2019-08-12,5000000.0,USD,5000000.0,101-250,25000000.0,USD,25000000.0,2.0,,,,,,3.0,,,,For Profit,2017-01-01,https://twitter.com/Bitfarms_io,https://www.facebook.com/bitfarms/,https://www.linkedin.com/company/bitfarms/,IPO,,,$1M to $10M
17868,The PRS REIT,https://www.crunchbase.com/organization/the-prs-reit,"Manchester, Manchester, United Kingdom","Financial Services, Real Estate, Rental, Venture Capital",Post-IPO Debt,2019-08-16,150000000.0,GBP,182250059.0,1-10,432250059.0,USD,432250059.0,2.0,,,,,,1.0,,,,,2017-01-01,,,https://www.linkedin.com/company/the-prs-reit-limited/,IPO,,,$1M to $10M
19537,Castor Maritime,https://www.crunchbase.com/organization/castor-maritime,"Limassol, Limassol, Cyprus","Transportation, Warehousing",Post-IPO Debt,2019-11-25,11000000.0,USD,11000000.0,11-50,11000000.0,USD,11000000.0,1.0,,,,,,1.0,,,,,2017-09-12,,,,IPO,,,Less than $1M
