,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
209,BTL Group,https://www.crunchbase.com/organization/btl-group,"Vancouver, British Columbia, Canada","Asset Management, Financial Services, FinTech, Trading Platform",Post-IPO Equity,2017-11-27,15300000.0,CAD,11991525.0,11-50,15300000.0,CAD,11991525.0,3.0,,,,,,1.0,,,,For Profit,2015-01-01,https://www.twitter.com/blockchainltd,https://www.facebook.com/blockchaintechltd,https://www.linkedin.com/company-beta/10058900/,IPO,,,Less than $1M
246,Iterum Therapeutics,https://www.crunchbase.com/organization/iterum-therapeutics,"Dublin, Dublin, Ireland","Medical, Pharmaceutical, Therapeutics",Post-IPO Equity,2020-01-17,51900000.0,USD,51900000.0,11-50,156900000.0,USD,156900000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,,,https://www.linkedin.com/company/iterum-therapeutics/,IPO,,,Less than $1M
430,INmuneBIO,https://www.crunchbase.com/organization/inmunebio,"La Jolla, California, United States","Biotechnology, Commercial, Industrial, Medical",Post-IPO Equity,2019-06-10,7000000.0,USD,7000000.0,11-50,23209904.0,USD,23209904.0,4.0,,,,,,3.0,,,,,2015-01-01,https://twitter.com/INmuneBio,https://www.facebook.com/inmunebioinc,https://www.linkedin.com/company/inmune-bio-inc/,IPO,,,Less than $1M
473,Australis Capital,https://www.crunchbase.com/organization/australis-capital,"Vancouver, British Columbia, Canada",Financial Services,Post-IPO Equity,2018-10-26,30000000.0,USD,30000000.0,,30000000.0,USD,30000000.0,1.0,,,,,,,,,,,2015-01-01,https://twitter.com/AustralisCapit1,,https://www.linkedin.com/company/australis-capital-inc/,IPO,,,Less than $1M
481,Sky and Space Global,https://www.crunchbase.com/organization/sky-and-space-global,"London, England, United Kingdom","Communities, Internet, Real Estate",Post-IPO Equity,2019-02-22,12000000.0,USD,12000000.0,11-50,12081868.0,USD,12081868.0,2.0,,,,,,1.0,,,,,2015-01-01,https://twitter.com/SkySpaceGlobal,https://www.facebook.com/skyandspaceglobal/,https://www.linkedin.com/company/sky-and-space-global-uk-ltd/,IPO,,,Less than $1M
515,Pointerra,https://www.crunchbase.com/organization/pointerra-limited,"Perth, Western Australia, Australia","3D Technology, Asset Management, Information Technology, SaaS, Software",Post-IPO Equity,2019-11-04,2500000.0,AUD,1722356.0,11-50,8650000.0,AUD,6355636.0,3.0,,,,,,5.0,,,,For Profit,2015-01-01,https://www.twitter.com/3dpointerra,,https://www.linkedin.com/company/pointerra-pty-ltd,IPO,,,Less than $1M
551,PUDO,https://www.crunchbase.com/organization/pudo,"Mississauga, Ontario, Canada","E-Commerce, Freight Service, Packaging Services, Retail",Post-IPO Equity,2019-12-23,104955.0,USD,104955.0,1-10,176955.0,USD,176955.0,2.0,,,,,,,,,,,2015-01-01,https://twitter.com/mypudo,https://www.facebook.com/PUDOINC/,https://www.linkedin.com/company/pudo-inc-/,IPO,,,Less than $1M
617,Quantify,https://www.crunchbase.com/organization/quantify,"Bentley, Western Australia, Australia","Industrial Engineering, Internet of Things, Smart Building",Post-IPO Equity,2017-11-22,5000000.0,USD,5000000.0,11-50,5000000.0,USD,5000000.0,1.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/quantify_tech,https://www.facebook.com/quantifytechnology/,https://www.linkedin.com/company/quantify-technology/,IPO,,,Less than $1M
623,iCandy Interactive Limited,https://www.crunchbase.com/organization/icandy-interactive-limited,"Kuala Lumpur, Kuala Lumpur, Malaysia","Digital Entertainment, Mobile, Software",Post-IPO Equity,2018-06-07,1000000.0,USD,1000000.0,11-50,4400000.0,USD,4400000.0,2.0,Made Acquisitions,,,2.0,,1.0,,,,For Profit,2015-01-01,https://www.twitter.com/appxplore,https://www.facebook.com/pages/icandy-interactive/299027980240111,https://www.linkedin.com/company-beta/6583196/,IPO,,,Less than $1M
962,Roto-Gro International,https://www.crunchbase.com/organization/roto-gro-international,"Perth, Western Australia, Australia","Cannabis, Machinery Manufacturing",Post-IPO Equity,2019-04-24,3600000.0,USD,3600000.0,11-50,3600000.0,USD,3600000.0,1.0,,,,,,,,,,For Profit,2015-01-01,https://www.twitter.com/rotogro,https://www.facebook.com/rotogro,,IPO,,,Less than $1M
1324,Appili Therapeutics,https://www.crunchbase.com/organization/appili-therapeutics,"Halifax, Nova Scotia, Canada","Biotechnology, Health Care, Marketing, Therapeutics",Post-IPO Equity,2020-02-25,10250000.0,USD,10250000.0,1-10,30622483.0,USD,30622483.0,9.0,,,,,,,,,,For Profit,2015-01-01,https://twitter.com/appili,,https://www.linkedin.com/company/appili-therapeutics,IPO,,,$1M to $10M
