,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
390,Visualping,https://www.crunchbase.com/organization/visualping,"Vancouver, British Columbia, Canada",Internet,Pre-Seed,2017-11-01,500000.0,USD,500000.0,1-10,500000.0,USD,500000.0,1.0,,,,,,,,,,For Profit,2015-01-01,https://twitter.com/visualping,https://www.facebook.com/visualping.io,http://linkedin.com/company/visualping,Seed,,,Less than $1M
395,Ä“dn,https://www.crunchbase.com/organization/Ä“dn-2,"New York, New York, United States","AgTech, Consumer Electronics, Internet, Internet of Things",Pre-Seed,2019-01-01,1400000.0,USD,1400000.0,1-10,1635000.0,USD,1635000.0,4.0,,,,,,1.0,,,,For Profit,2015-01-01,https://www.twitter.com/edngarden,https://www.facebook.com/edngarden,https://www.linkedin.com/company/edngarden,Seed,,,Less than $1M
452,TWOSENSE.AI,https://www.crunchbase.com/organization/twosense-inc,"New York, New York, United States","Artificial Intelligence, Biometrics, Business Development, Identity Management, Security",Pre-Seed,2017-01-09,983000.0,USD,983000.0,1-10,983000.0,USD,983000.0,1.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/twosenselabs,,https://www.linkedin.com/company/twosense.ai/,Seed,,,Less than $1M
489,Nix,https://www.crunchbase.com/organization/nix,"Boston, Massachusetts, United States","Biometrics, Consumer Goods, Software Engineering, Wearables",Pre-Seed,2017-02-06,,,,1-10,815000.0,USD,815000.0,4.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/NixBiosensors,https://www.facebook.com/nixbiosensors/,https://www.linkedin.com/company-beta/10110706/,Seed,,,Less than $1M
518,Parting Pro,https://www.crunchbase.com/organization/parting,"San Francisco, California, United States","Consumer, Elder Care, Funerals",Pre-Seed,2017-03-02,120000.0,USD,120000.0,1-10,120000.0,USD,120000.0,2.0,,,,,,3.0,,,,For Profit,2015-01-01,https://www.twitter.com/partingcares,https://www.facebook.com/partingpro,https://www.linkedin.com/company/parting,Seed,,,Less than $1M
562,GlowDx,https://www.crunchbase.com/organization/glowdx,"Galway, Galway, Ireland","Biotechnology, Health Care, Health Diagnostics, Medical Device",Pre-Seed,2019-09-01,500000.0,USD,500000.0,1-10,730903.0,USD,730903.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/GlowDx,https://www.facebook.com/GlowDiagnostics,https://www.linkedin.com/company/glowdx,Seed,,,Less than $1M
710,iBIONICS,https://www.crunchbase.com/organization/ibionics,"Ottawa, Ontario, Canada","Computer, Health Care",Pre-Seed,2016-07-01,1200000.0,CAD,928708.0,1-10,1200000.0,CAD,928708.0,1.0,,,,,,1.0,,,,For Profit,2015-01-01,,https://www.facebook.com/ibionics,https://www.linkedin.com/company/ibionics/,Seed,,,Less than $1M
743,Alexapath,https://www.crunchbase.com/organization/alexapath,"New York, New York, United States","Apps, Health Care, Information Technology, Mobile Apps, Software",Pre-Seed,2020-01-15,50000.0,USD,50000.0,11-50,50000.0,USD,50000.0,2.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/mobilewsi,https://www.facebook.com/AlexaPath,https://www.linkedin.com/company-beta/6583960/?pathWildcard=6583960,Seed,,,Less than $1M
768,Bestest,https://www.crunchbase.com/organization/bestest,"Westport, Connecticut, United States","Apps, Communities, Software",Pre-Seed,2017-09-01,750000.0,USD,750000.0,1-10,750000.0,USD,750000.0,1.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/bestestpolls,https://www.facebook.com/bestestpolls/,https://www.linkedin.com/company/bestestpolls/,Seed,,,Less than $1M
824,Actifile,https://www.crunchbase.com/organization/actifile,"Herzliya, Tel Aviv, Israel","Cyber Security, Privacy",Pre-Seed,2017-07-01,,,,11-50,100000.0,USD,100000.0,2.0,,,,,,4.0,,,,For Profit,2015-01-01,https://twitter.com/actifile,https://www.facebook.com/actifile?fref=ts,https://www.linkedin.com/company/actifile,Seed,,,Less than $1M
867,Knit People,https://www.crunchbase.com/organization/white-beaver,"Toronto, Ontario, Canada","Human Resources, Payments, SaaS, Small and Medium Businesses",Pre-Seed,2017-03-17,150000.0,CAD,112262.0,1-10,150000.0,CAD,112262.0,1.0,,,,,,,,,,For Profit,2015-01-01,https://twitter.com/KnitHQ,https://www.facebook.com/KnitHQ,https://ca.linkedin.com/company/knitpeople,Seed,,,Less than $1M
880,Fraudmarc,https://www.crunchbase.com/organization/fraudmarc,"Atlanta, Georgia, United States","Cyber Security, Email, Software",Pre-Seed,2017-07-10,100000.0,USD,100000.0,1-10,100000.0,USD,100000.0,1.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/fraudmarc,https://www.facebook.com/fraudmarc/,https://www.linkedin.com/company/10684936/,Seed,,,Less than $1M
882,My Job Glasses,https://www.crunchbase.com/organization/my-job-glasses,"Paris, Ile-de-France, France",Recruiting,Pre-Seed,2017-10-23,60000.0,EUR,70529.0,1-10,60000.0,EUR,70529.0,1.0,,,,,,,,,,For Profit,2015-01-01,https://twitter.com/myjobglasses,https://www.facebook.com/myjobglasses/,,Seed,,,Less than $1M
1619,Bite,https://www.crunchbase.com/organization/bite,"New York, New York, United States","Enterprise, Hospitality, Information Technology, Restaurants",Pre-Seed,2019-06-01,1000000.0,USD,1000000.0,11-50,1050000.0,USD,1050000.0,3.0,,,,,,4.0,,,,For Profit,2015-01-01,https://twitter.com/@bitekiosk,https://www.facebook.com/bitekiosk,https://www.linkedin.com/company/bite-inc-digital-dining-experiences-,Seed,,,$1M to $10M
1712,ShoppingGives,https://www.crunchbase.com/organization/shopping-gives,"Chicago, Illinois, United States","Communities, E-Commerce, E-Commerce Platforms, Retail, Shopping, Social Impact",Pre-Seed,2019-10-25,1500000.0,USD,1500000.0,11-50,2700000.0,USD,2700000.0,2.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/ShoppingGives,https://www.facebook.com/shoppinggives/,https://www.linkedin.com/company/shoppinggives/,Seed,,,$1M to $10M
1767,Sunlight,https://www.crunchbase.com/organization/sunlight,"San Francisco, California, United States","Education, Human Resources",Pre-Seed,2018-10-15,,,,11-50,831540.0,USD,831540.0,6.0,,,,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/withsunlight,https://www.facebook.com/withsunlight,https://www.linkedin.com/company/sunlight.is/,Seed,,,$1M to $10M
2262,SmoothTerminal,https://www.crunchbase.com/organization/dailydrip,"Birmingham, Alabama, United States","Continuing Education, E-Commerce, Education, Internet",Pre-Seed,2015-11-01,,,,1-10,,,,1.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/smoothterminal,https://www.facebook.com/SmoothTerminal/,https://www.linkedin.com/company/dailydrip,Seed,,,$10M to $50M
2411,Vault,https://www.crunchbase.com/organization/vaultinvesting,"Portland, Oregon, United States","Financial Services, FinTech, Retirement, Wealth Management",Pre-Seed,2018-06-15,700000.0,USD,700000.0,11-50,2300000.0,USD,2300000.0,2.0,Was Acquired,Acorns,https://www.crunchbase.com/organization/acorns-grow,,,2.0,,,,For Profit,2015-01-24,https://www.twitter.com/vaultinvesting,https://www.facebook.com/vault.investing,https://www.linkedin.com/company/vault---business-investment-advisor,M&A,Acquisition,2017-11-07,Less than $1M
2474,RapidSpike,https://www.crunchbase.com/organization/rapidspike,"Leeds, Leeds, United Kingdom","Application Performance Management, Apps, Cyber Security, Information Technology, Management Information Systems, SaaS",Pre-Seed,2015-01-06,475000.0,GBP,719215.0,11-50,475000.0,GBP,719215.0,1.0,,,,,,3.0,,,,For Profit,2015-01-06,https://twitter.com/rapidspike,https://www.facebook.com/RapidSpike,https://www.linkedin.com/company/rapidspike,Seed,,,$1M to $10M
3170,BattSwap,https://www.crunchbase.com/organization/battswap,"Menlo Park, California, United States","Automotive, Manufacturing",Pre-Seed,2017-10-01,750000.0,USD,750000.0,1-10,950000.0,USD,950000.0,2.0,,,,,,1.0,,,,For Profit,2015-02-04,https://twitter.com/battswap,https://www.facebook.com/BattSwap,https://de.linkedin.com/in/radek-jankÅ¯-733443b2,Seed,,,Less than $1M
3187,Solight Design,https://www.crunchbase.com/organization/solight-design,"New York, New York, United States","Clean Energy, Home Decor",Pre-Seed,2018-01-01,930000.0,USD,930000.0,1-10,930000.0,USD,930000.0,1.0,,,,,,2.0,,,,For Profit,2015-02-05,https://twitter.com/Solar_Puff,https://www.facebook.com/SolightDesign/,,Seed,,,$1M to $10M
3391,"TutorSync, Inc.",https://www.crunchbase.com/organization/tutorsync-inc-,"Fremont, California, United States","E-Commerce, Education, Internet",Pre-Seed,2016-04-01,,,,1-10,,,,1.0,,,,,,,,,,,2015-02-01,,,,Seed,,,Less than $1M
3904,Climber RMS,https://www.crunchbase.com/organization/climber-hotel,"Lisbon, Lisboa, Portugal","Analytics, Artificial Intelligence, Hospitality, SaaS, Software",Pre-Seed,2019-04-03,,,,11-50,541928.0,USD,541928.0,3.0,,,,,,2.0,,,,For Profit,2015-03-01,https://twitter.com/climberhotel,https://www.facebook.com/climberhotel,https://www.linkedin.com/company/climber-hotel,Seed,,,Less than $1M
3962,BridgeHaul,https://www.crunchbase.com/organization/bridgehaul,"Los Angeles, California, United States","Railroad, Shipping, Transportation",Pre-Seed,2016-05-13,825000.0,USD,825000.0,1-10,1225000.0,USD,1225000.0,2.0,,,,,,1.0,,,,For Profit,2015-03-01,https://www.twitter.com/bridgehaul,https://www.facebook.com/bridgehaul,https://www.linkedin.com/company/6585049,Seed,,,Less than $1M
3969,Classlife Education,https://www.crunchbase.com/organization/classlife,"Barcelona, Catalonia, Spain","CRM, E-Learning, Education, Enterprise Resource Planning (ERP), Enterprise Software, Management Information Systems, SaaS",Pre-Seed,2018-09-01,100000.0,EUR,116117.0,1-10,100000.0,EUR,116117.0,1.0,,,,,,1.0,,,,For Profit,2015-03-10,http://twitter.com/ClasslifeEd,http://www.facebook.com/Classlife,https://www.linkedin.com/companies/classlife,Seed,,,Less than $1M
3987,World Gaming Federation,https://www.crunchbase.com/organization/world-gaming-federation,"Paris, Ile-de-France, France","B2B, Big Data, Computer, Gaming, PC Games, Video Games",Pre-Seed,2016-02-05,90000.0,EUR,100433.0,1-10,140000.0,EUR,154724.0,2.0,,,,,,2.0,,,,,2015-03-01,https://twitter.com/wgf_gg,https://www.facebook.com/worldgamingfederation/,https://www.linkedin.com/company/world-gaming-federation/,Seed,,,Less than $1M
4001,Xeno,https://www.crunchbase.com/organization/xeno,"New Delhi, Delhi, India","Advertising, E-Commerce, Loyalty Programs, Marketing, Mobile, Retail Technology",Pre-Seed,2018-04-23,,,,11-50,,,,1.0,,,,,,2.0,,,,For Profit,2015-03-05,https://twitter.com/xenohq,https://www.facebook.com/xenohq,https://www.linkedin.com/company/xeno-pvt-ltd-,Seed,,,Less than $1M
