,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
184,RippleWorks,https://www.crunchbase.com/organization/rippleworks,"California City, California, United States","Information Technology, Non Profit, Social Entrepreneurship, Trading Platform",Private Equity,2015-04-23,60000000.0,USD,60000000.0,11-50,60000000.0,USD,60000000.0,1.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/rippleworksorg,https://www.facebook.com/rippleworksorg?_rdr,https://www.linkedin.com/company/rippleworks,Private Equity,,,Less than $1M
500,eCare Vault,https://www.crunchbase.com/organization/ecare-vault,"Boston, Massachusetts, United States","Education, Health Care, Information Technology, Software",Private Equity,2019-02-07,,,,1-10,3693694.0,USD,3693694.0,3.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/ecarevault,https://www.facebook.com/ECare-Vault-Inc-1208510575828041/?ref=aymt_homepage_panel,https://www.linkedin.com/company/ecare-vault-inc.,Private Equity,,,Less than $1M
555,Colgate Energy,https://www.crunchbase.com/organization/colgate-energy,"Midland, Texas, United States","Energy, Natural Resources, Oil and Gas",Private Equity,2016-02-25,75000000.0,USD,75000000.0,11-50,75000000.0,USD,75000000.0,1.0,,,,,,2.0,,,,For Profit,2015-01-01,,,,Private Equity,,,Less than $1M
618,CAM INTEGRATED,https://www.crunchbase.com/organization/cam-integrated,"Houston, Texas, United States","Construction, Energy, Oil and Gas",Private Equity,2016-02-12,40000000.0,USD,40000000.0,11-50,40000000.0,USD,40000000.0,1.0,,,,,,2.0,,,,For Profit,2015-01-01,,https://www.facebook.com/pages/CAM-Integrated-Solutions-LLC/1469514840023710,https://www.linkedin.com/company/cam-integrated-solutions-llc,Private Equity,,,Less than $1M
629,Shopper Media Group,https://www.crunchbase.com/organization/shopper-media-group,"North Sydney, New South Wales, Australia","Advertising, Digital Media, Marketing",Private Equity,2017-04-05,10000000.0,AUD,7565864.0,11-50,10000000.0,AUD,7565864.0,1.0,,,,,,2.0,,,,For Profit,2015-01-01,,,https://www.linkedin.com/company-beta/10292500/,Private Equity,,,Less than $1M
1197,Simba Sleep,https://www.crunchbase.com/organization/simba-sleep,"London, England, United Kingdom","CRM, Customer Service, E-Commerce, Mobile, Retail",Private Equity,2020-01-03,24000000.0,USD,24000000.0,51-100,107102183.0,USD,107102183.0,10.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/SimbaSleep/,https://www.facebook.com/Simbasleep/,https://www.linkedin.com/company/simba-sleep,Private Equity,,,$1M to $10M
1483,WION,https://www.crunchbase.com/organization/wion-2,"Noida, Uttar Pradesh, India","News, Publishing, Social Media, TV",Private Equity,2016-08-01,15000000.0,USD,15000000.0,101-250,16000000.0,USD,16000000.0,2.0,,,,,,,,,,For Profit,2015-01-01,https://www.twitter.com/wionews,https://www.facebook.com/wionews,https://www.linkedin.com/company/world-is-one-news,Private Equity,,,$1M to $10M
1603,Akari Therapeutics,https://www.crunchbase.com/organization/celsus-therapeutics,"London, England, United Kingdom","Biopharma, Biotechnology, Therapeutics",Private Equity,2015-09-21,75000000.0,USD,75000000.0,11-50,87500000.0,USD,87500000.0,2.0,,,,,,,,,,For Profit,2015-01-01,,,https://www.linkedin.com/company/akari-therapeutics-plc/,IPO,,,$1M to $10M
1646,EO Charging,https://www.crunchbase.com/organization/eo-charging,"Stowmarket, Suffolk, United Kingdom","Electrical Distribution, Product Design",Private Equity,2018-09-26,13000000.0,GBP,17121009.0,51-100,13000000.0,GBP,17121009.0,1.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/eocharging,https://www.facebook.com/eocharging/,https://www.linkedin.com/company/eo-charging/,Private Equity,,,$1M to $10M
1666,Athena Art Finance,https://www.crunchbase.com/organization/athena-art-finance-corp,"New York, New York, United States","Art, Credit, Finance, Financial Services",Private Equity,2015-10-08,280000000.0,USD,280000000.0,11-50,280000000.0,USD,280000000.0,1.0,Was Acquired,YieldStreet,https://www.crunchbase.com/organization/yieldstreet,,170000000.0,1.0,,170000000.0,USD,For Profit,2015-01-01,https://www.twitter.com/athena_art_fin,https://www.facebook.com/athenaartfinance,https://www.linkedin.com/company/athena-art-finance-corp-,M&A,Acquisition,2019-04-10,$1M to $10M
