,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
181,Baubax,https://www.crunchbase.com/organization/baubax,"Redmond, Washington, United States","Fashion, Mobile, Travel",Product Crowdfunding,2019-08-29,1012579.0,USD,1012579.0,11-50,25429951.0,USD,25429951.0,5.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/baubax,https://www.facebook.com/baubax/timeline?ref=page_internal,https://www.linkedin.com/company/baubax,,,,Less than $1M
394,Flow Hive,https://www.crunchbase.com/organization/flow-hive,"Byron Bay, New South Wales, Australia","Developer Platform, Natural Resources, Product Design",Product Crowdfunding,2015-04-14,12489213.0,USD,12489213.0,101-250,12489213.0,USD,12489213.0,1.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/flowhive,https://www.facebook.com/flowhive/timeline?ref=page_internal,,,,,Less than $1M
647,Flux Bike,https://www.crunchbase.com/organization/flux-bike,"San Francisco, California, United States","Automotive, Electric Vehicle, Green Consumer Goods",Product Crowdfunding,2016-05-05,889716.0,USD,889716.0,1-10,889716.0,USD,889716.0,1.0,,,,,,,,,,For Profit,2015-01-01,https://twitter.com/fluxbike,https://www.facebook.com/goflux,https://www.linkedin.com/company/flux-performance?trk=ppro_cprof,,,,Less than $1M
837,Tingbot,https://www.crunchbase.com/organization/tingbot,"London, England, United Kingdom","Apps, Internet, Software",Product Crowdfunding,2015-11-02,43261000.0,EUR,47642489.0,1-10,43261000.0,EUR,47642489.0,1.0,,,,,,,,,,For Profit,2015-01-01,https://twitter.com/thetingbot,https://www.facebook.com/thetingbot,https://www.linkedin.com/in/bengreenock,,,,Less than $1M
1692,Organic Basics,https://www.crunchbase.com/organization/organic-basics,"Copenhagen, Hovedstaden, Denmark","Consumer Goods, E-Commerce, Fashion, Retail",Product Crowdfunding,2018-05-02,450000.0,USD,450000.0,11-50,450000.0,USD,450000.0,2.0,,,,,,4.0,,,,For Profit,2015-01-01,https://www.twitter.com/organic_basics,https://www.facebook.com/organicbasics,https://www.linkedin.com/company/organic-basics-dk-/,Seed,,,$1M to $10M
1955,FarmBot,https://www.crunchbase.com/organization/farmbots,"San Luis Obispo, California, United States","Agriculture, Robotics, Software",Product Crowdfunding,2016-07-01,813000.0,USD,813000.0,1-10,813000.0,USD,813000.0,1.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/farmbotio?lang=en,https://www.facebook.com/FarmBot.io/,https://www.linkedin.com/company/farmbot-io,,,,$1M to $10M
2714,Stoke,https://www.crunchbase.com/organization/stoke-2,"Singapore, Central Region, Singapore","Communication Hardware, IT Infrastructure, Wireless",Product Crowdfunding,2015-02-23,,,,1-10,,,,1.0,,,,,,1.0,,,,,2015-01-06,,,,,,,Less than $1M
3134,Glance Tech,https://www.crunchbase.com/organization/glance-clock,"Singapore, Central Region, Singapore","Artificial Intelligence, Hardware, Internet of Things, Software",Product Crowdfunding,2016-09-15,460000.0,USD,460000.0,1-10,969300.0,USD,969300.0,4.0,,,,,,2.0,,,,For Profit,2015-02-01,http://twitter.com/glanceclock,http://fb.com/clockglance,https://www.linkedin.com/company/glancetech/,Seed,,,$1M to $10M
3264,Urban Owl,https://www.crunchbase.com/organization/urban-owl-eyewear,"Athens, Attiki, Greece","E-Commerce, Eyewear, Fashion",Product Crowdfunding,2015-09-20,23000.0,EUR,25968.0,1-10,23000.0,EUR,25968.0,1.0,,,,,,1.0,,,,For Profit,2015-02-01,https://twitter.com/urbanowleyewear,https://www.facebook.com/urbanowleyewear?fref=ts&ref=br_tf,https://www.linkedin.com/company/urban-owl-eyewear?trk=biz-companies-cym,,,,$1M to $10M
6428,WaterO,https://www.crunchbase.com/organization/watero,"Ahmedabad, Gujarat, India","Apps, Water Purification",Product Crowdfunding,2016-04-01,85669.0,USD,85669.0,1-10,85669.0,USD,85669.0,1.0,,,,,,2.0,,,,For Profit,2015-06-17,http://twitter.com/wateropurifier,http://facebook.com/wateropurifier,,,,,Less than $1M
8567,ButcherBox,https://www.crunchbase.com/organization/butcherbox,"Brighton, Massachusetts, United States","Delivery, Food and Beverage",Product Crowdfunding,2015-10-09,210000.0,USD,210000.0,101-250,210000.0,USD,210000.0,1.0,,,,,,1.0,,,,,2015-09-09,https://www.twitter.com/butcherbox,https://www.facebook.com/butcherbox-1008040249210156,https://www.linkedin.com/company/10630787/,,,,Less than $1M
9431,Park & Diamond,https://www.crunchbase.com/organization/park-diamond,"Brooklyn, New York, United States","Consumer Goods, Fashion, Product Design",Product Crowdfunding,2018-10-30,2600000.0,USD,2600000.0,1-10,3450000.0,USD,3450000.0,4.0,,,,,,2.0,,,,For Profit,2015-10-18,,https://www.facebook.com/parkanddiamond/,https://www.linkedin.com/company/park&diamondinc./,Seed,,,Less than $1M
9963,Viberate,https://www.crunchbase.com/organization/viberate,"Ljubljana, Ljubljana Urban Commune, Slovenia","Analytics, Big Data, Blockchain, Information Technology, Market Research, Media and Entertainment, Music",Product Crowdfunding,2017-09-06,11000000.0,USD,11000000.0,101-250,12000000.0,USD,12000000.0,3.0,,,,,,4.0,,,,For Profit,2015-12-09,https://www.twitter.com/viberate,https://www.facebook.com/viberateofc,https://www.linkedin.com/company/viberate/,Seed,,,$1M to $10M
10090,The Oomph,https://www.crunchbase.com/organization/the-oomph,"Cheadle Hulme, Cheshire, United Kingdom","Coffee, Food and Beverage, Travel",Product Crowdfunding,2015-11-27,61090.0,GBP,91841.0,1-10,61090.0,GBP,91841.0,1.0,,,,,,1.0,,,,For Profit,2015-11-27,https://twitter.com/oomphcoffee,https://www.facebook.com/oomphcoffeemaker/,https://www.linkedin.com/company/oomph-coffee/,,,,Less than $1M
