,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
1582,Yumlane,https://www.crunchbase.com/organization/yumlane,"Mumbai, Maharashtra, India","E-Commerce, Food and Beverage, Food Delivery, Snack Food",Secondary Market,2019-07-31,,,,11-50,6019337.0,USD,6019337.0,7.0,,,,,,1.0,,,,For Profit,2015-01-01,https://www.twitter.com/yumlane,https://www.facebook.com/yumlane,https://www.linkedin.com/company/yumlane,Early Stage Venture,,,$1M to $10M
2002,Lemonade,https://www.crunchbase.com/organization/lemonade,"New York, New York, United States","Artificial Intelligence, Financial Services, Insurance, InsurTech",Secondary Market,2019-07-09,,,,101-250,480000000.0,USD,480000000.0,7.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/lemonade_inc,https://www.facebook.com/lemonade,https://www.linkedin.com/company/lemonade-inc-/,Late Stage Venture,,,$10M to $50M
5442,McMakler,https://www.crunchbase.com/organization/mcmakler-gmbh,"Berlin, Berlin, Germany","Real Estate, Real Estate Investment, Rental Property",Secondary Market,2019-10-16,20000000.0,USD,20000000.0,501-1000,180462918.0,USD,180462918.0,8.0,,,,,,3.0,,,,For Profit,2015-05-01,https://twitter.com/mcmaklerde,https://www.facebook.com/mcmakler.de/,https://www.linkedin.com/company/mcmakler-gmbh/,Late Stage Venture,,,$10M to $50M
9320,Pathao,https://www.crunchbase.com/organization/pathao,"Dhaka, Dhaka, Bangladesh","E-Commerce, Logistics, Payments, Transportation",Secondary Market,2018-08-28,,,,1001-5000,12825000.0,USD,12825000.0,8.0,,,,,,3.0,,,,For Profit,2015-10-09,https://twitter.com/pathaobd,https://www.facebook.com/pathaobd/,https://www.linkedin.com/company/pathao,,,,$1M to $10M
9580,Viventor,https://www.crunchbase.com/organization/viventor,"Riga, Riga, Latvia","Financial Services, FinTech, Personal Finance",Secondary Market,2016-02-18,,,,1-10,,,,1.0,,,,,,,,,,For Profit,2015-10-01,https://twitter.com/Viventor_P2P,https://www.facebook.com/Viventor.Platform,https://www.linkedin.com/company/viventor,,,,Less than $1M
17719,Ampleforth,https://www.crunchbase.com/organization/fragments-a7cb,"San Francisco, California, United States","Computer, Information Technology, Software",Secondary Market,2019-07-20,,,,1-10,9750000.0,USD,9750000.0,4.0,,,,,,2.0,,,,,2017-01-01,https://twitter.com/fragmentsorg,https://www.facebook.com/FragmentsProtocol/,https://www.linkedin.com/company/fragments-inc/,,,,$1M to $10M
17856,Long Ridge Energy Terminal,https://www.crunchbase.com/organization/long-ridge-energy-terminal,"Canonsburg, Pennsylvania, United States","Infrastructure, Natural Resources, Power Grid",Secondary Market,2019-12-23,150000000.0,USD,150000000.0,11-50,150000000.0,USD,150000000.0,1.0,,,,,,,,,,,2017-01-01,,,https://in.linkedin.com/company/long-ridge-energy-terminal,,,,$1M to $10M
18865,Scorely,https://www.crunchbase.com/organization/scorely,"New York, New York, United States","Consulting, Financial Services, Information Technology, Software",Secondary Market,2018-12-15,,,,1-10,,,,1.0,,,,,,,,,,For Profit,2017-05-20,https://twitter.com/scorely,https://www.facebook.com/Scorelyrating/,https://www.linkedin.com/company/scorely/,,,,$1M to $10M
19262,BlockFi,https://www.crunchbase.com/organization/blockfi-inc,"Manhattan, New York, United States","Bitcoin, Commercial Lending, Consumer Lending, Cryptocurrency, Ethereum, Finance, Financial Services, FinTech, Lending",Secondary Market,2020-04-09,,,,51-100,108681673.0,USD,108681673.0,7.0,,,,,,1.0,,,,For Profit,2017-08-01,https://twitter.com/TheRealBlockFi?lang=en,https://www.facebook.com/BlockFi/,https://www.linkedin.com/company/blockfi/,Early Stage Venture,,,$1M to $10M
21298,Robocorp,https://www.crunchbase.com/organization/robocorp,"San Francisco, California, United States","Cloud Infrastructure, Information Technology, Open Source, SaaS, Software",Secondary Market,2020-04-20,4800000.0,EUR,5215441.0,11-50,11385043.0,USD,11385043.0,3.0,,,,,,4.0,,,,For Profit,2019-01-01,https://twitter.com/RobocorpInc,,https://www.linkedin.com/company/robocorp/,Seed,,,$1M to $10M
