,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
27,Mercato,https://www.crunchbase.com/organization/mercato-2,"San Diego, California, United States","E-Commerce, Grocery, Marketplace",Seed,2019-11-26,1100000.0,USD,1100000.0,11-50,8700000.0,USD,8700000.0,6.0,,,,,,6.0,,,,For Profit,2015-01-01,https://twitter.com/MercatoNewYork,https://www.facebook.com/MERCATOcom,https://www.linkedin.com/company/mercato,Seed,,,Less than $1M
33,Wysa,https://www.crunchbase.com/organization/touchkin-eservices,"Bangalore, Karnataka, India","Artificial Intelligence, Fitness, Health Care, Machine Learning, Medical Device, mHealth, Wellness",Seed,2019-06-20,150000000.0,INR,2157626.0,11-50,3857626.0,USD,3857626.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/wysabuddy,https://www.facebook.com/wysabuddy/,https://www.linkedin.com/company/touchkin,Seed,,,Less than $1M
43,Boost,https://www.crunchbase.com/organization/boost,"Calabasas, California, United States","E-Commerce, Mobile, Payments",Seed,2020-05-01,1000000.0,USD,1000000.0,11-50,1000000.0,USD,1000000.0,1.0,,,,,,2.0,,,,For Profit,2015-01-01,http://twitter.com/boost,https://www.facebook.com/boostnow,https://www.linkedin.com/company/boost-inc,Seed,,,Less than $1M
47,Plan,https://www.crunchbase.com/organization/plan,"San Francisco, California, United States","Computer, Software, Task Management",Seed,2017-12-31,1000000.0,USD,1000000.0,1-10,1000000.0,USD,1000000.0,2.0,,,,,,,,,,For Profit,2015-01-01,https://twitter.com/getplanapp,,https://www.linkedin.com/company/plan-inc,Seed,,,Less than $1M
56,FANCHEST,https://www.crunchbase.com/organization/fanchest,"Brooklyn, New York, United States","B2B, E-Commerce, Internet, Sporting Goods, Sports",Seed,2017-12-13,4000000.0,USD,4000000.0,1-10,4000000.0,USD,4000000.0,1.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/thefanchest,https://www.facebook.com/FANCHEST-358362290954924/,https://www.linkedin.com/company/fanchest-inc-,Seed,,,Less than $1M
63,Wealthy,https://www.crunchbase.com/organization/wealthy,"Bangalore, Karnataka, India","Financial Services, FinTech, Mobile Apps",Seed,2019-10-23,1300000.0,USD,1300000.0,11-50,1540000.0,USD,1540000.0,5.0,,,,,,5.0,,,,For Profit,2015-01-01,https://twitter.com/Wealthy_India/,https://www.facebook.com/WealthyIN/,https://www.linkedin.com/company/wealthy-in/,Seed,,,Less than $1M
76,ShopUp,https://www.crunchbase.com/organization/shopup,"Dhaka, Dhaka, Bangladesh","Apps, E-Commerce, FinTech, Shopping",Seed,2019-04-19,1500000.0,USD,1500000.0,101-250,4940000.0,USD,4940000.0,5.0,,,,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/helloshopup,https://www.facebook.com/shopupnow,https://www.linkedin.com/company/shopfront-limited,Seed,,,Less than $1M
77,Token,https://www.crunchbase.com/organization/token-3,"New York, New York, United States","Payments, Privacy, Security",Seed,2019-04-02,300000.0,USD,300000.0,11-50,2220000.0,USD,2220000.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/jointoken,https://www.facebook.com/letstoken/,https://www.linkedin.com/company/token-inc./,Seed,,,Less than $1M
81,Yup.com,https://www.crunchbase.com/organization/yuptechnologies,"San Francisco, California, United States","Apps, EdTech, Mobile, Tutoring",Seed,2018-06-30,,,,11-50,23532545.0,USD,23532545.0,4.0,Made Acquisitions,,,1.0,,1.0,,,,For Profit,2015-01-01,https://twitter.com/YupTechnologies,https://www.facebook.com/yuptechnologies,https://www.linkedin.com/company/10591670,Seed,,,Less than $1M
84,strongDM,https://www.crunchbase.com/organization/strongdm,"Burlingame, California, United States","Security, Software",Seed,2018-10-12,1000000.0,USD,1000000.0,11-50,5050000.0,USD,5050000.0,4.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/strongdatam,https://www.facebook.com/strongdm/,https://www.linkedin.com/company/strongdm,Seed,,,Less than $1M
91,Axiom Space,https://www.crunchbase.com/organization/axiom-space,"Houston, Texas, United States","Aerospace, Space Travel",Seed,2019-10-10,,,,11-50,16000000.0,USD,16000000.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/axiom_space,https://www.facebook.com/axiomspace/,https://www.linkedin.com/company/axiom-space,Seed,,,Less than $1M
