,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
5,OpenInvest,https://www.crunchbase.com/organization/openinvest,"San Francisco, California, United States","Financial Services, FinTech, Sustainability",Series A,2020-04-16,10500000.0,USD,10500000.0,11-50,24270000.0,USD,24270000.0,5.0,,,,,,3.0,,,,For Profit,2015-01-01,https://www.twitter.com/openinvestco,https://www.facebook.com/openinvestco,https://www.linkedin.com/company/7792920/,Early Stage Venture,,,Less than $1M
10,Porter & Sail,https://www.crunchbase.com/organization/porter-sail,"New York, New York, United States","B2B, E-Commerce Platforms, Hospitality, Hotel, Leisure, Mobile, Travel",Series A,2019-09-24,2000000.0,USD,2000000.0,,11607800.0,USD,11607800.0,8.0,Made Acquisitions,,,1.0,,2.0,,,,For Profit,2015-01-01,,http://facebook.com/porterandsail,http://www.linkedin.com/company/porter-sail,Early Stage Venture,,,Less than $1M
17,AMP Robotics,https://www.crunchbase.com/organization/amp-robotics,"Louisville, Colorado, United States","Artificial Intelligence, Environmental Engineering, Information Technology, Intelligent Systems, Machine Learning, Recycling, Robotics",Series A,2019-11-14,16000000.0,USD,16000000.0,11-50,19465813.0,USD,19465813.0,5.0,,,,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/amprobotics,https://www.facebook.com/amprobotics,https://www.linkedin.com/company/amp-robotics,Early Stage Venture,,,Less than $1M
22,Clear Skye,https://www.crunchbase.com/organization/clear-skye-inc,"San Francisco, California, United States","Compliance, Cyber Security, Information Technology",Series A,2020-05-05,4950000.0,USD,4950000.0,11-50,6351323.0,USD,6351323.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,,,https://www.linkedin.com/company/clearskye,Early Stage Venture,,,Less than $1M
24,ZeroNorth,https://www.crunchbase.com/organization/zeronorth,"Boston, Massachusetts, United States","Cloud Security, Cyber Security, Information Technology, Internet, SaaS, Security, Software",Series A,2020-03-16,10000000.0,USD,10000000.0,11-50,27600000.0,USD,27600000.0,4.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/ZeroNorthSec,,https://www.linkedin.com/company/zeronorth/,Early Stage Venture,,,Less than $1M
25,ReCode Therapeutics,https://www.crunchbase.com/organization/recode-therapeutics,"Dallas, Texas, United States","Biopharma, Biotechnology, Health Care, Pharmaceutical, Wellness",Series A,2020-03-26,27499993.0,USD,27499993.0,1-10,29499993.0,USD,29499993.0,2.0,,,,,,3.0,,,,For Profit,2015-01-01,,,,Early Stage Venture,,,Less than $1M
29,InterviewBit,https://www.crunchbase.com/organization/interviewbit,"Bengaluru, Karnataka, India","E-Learning, Employment, Information Technology, Internet, Recruiting, Software",Series A,2020-01-28,20000000.0,USD,20000000.0,101-250,21500000.0,USD,21500000.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/interview_bit,https://facebook.com/interviewbit,https://www.linkedin.com/company/interviewbit,Early Stage Venture,,,Less than $1M
30,Thimble,https://www.crunchbase.com/organization/verifly,"New York, New York, United States","Financial Services, FinTech, Insurance, InsurTech, Mobile",Series A,2019-10-15,22000000.0,USD,22000000.0,11-50,28900000.0,USD,28900000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/Thimble,https://www.facebook.com/ThimbleInsurance,https://www.linkedin.com/company/thimbleinsurance/,Early Stage Venture,,,Less than $1M
31,Deepgram,https://www.crunchbase.com/organization/deepgram,"San Francisco, California, United States","Analytics, Artificial Intelligence, Audio, Human Computer Interaction, Software, Speech Recognition, Video",Series A,2020-03-18,12000000.0,USD,12000000.0,11-50,13920000.0,USD,13920000.0,5.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/DeepgramAI,https://www.facebook.com/deepgram,https://www.linkedin.com/company/deepgram,Early Stage Venture,,,Less than $1M
36,Apollo.io,https://www.crunchbase.com/organization/zenprospect,"San Francisco, California, United States","Lead Generation, Sales, Sales Automation, Software",Series A,2018-06-26,7000000.0,USD,7000000.0,11-50,9320000.0,USD,9320000.0,3.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/MeetApollo,https://www.facebook.com/MeetApollo/,https://www.linkedin.com/company/apollo-io/,Early Stage Venture,,,Less than $1M
