,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
3,Triller,https://www.crunchbase.com/organization/triller,"New York, New York, United States","Digital Media, Music, Social Network",Series B,2019-10-23,28000000.0,USD,28000000.0,11-50,37500000.0,USD,37500000.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/triller,https://www.facebook.com/trillervids,https://www.linkedin.com/company/triller,Early Stage Venture,,,Less than $1M
6,Getaway,https://www.crunchbase.com/organization/getaway-2,"Brooklyn, New York, United States","Hospitality, Rental, Rental Property, Travel",Series B,2019-06-10,22500000.0,USD,22500000.0,11-50,40100000.0,USD,40100000.0,7.0,,,,,,1.0,,,,For Profit,2015-01-01,,https://www.facebook.com/getawayhouse/,https://www.linkedin.com/company/getaway-house-inc/,Early Stage Venture,,,Less than $1M
7,Arkose Labs,https://www.crunchbase.com/organization/arkoselabs,"San Francisco, California, United States","Cyber Security, Fraud Detection, Network Security, Security, Spam Filtering",Series B,2020-03-24,22000000.0,USD,22000000.0,51-100,36467748.0,USD,36467748.0,8.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/ArkoseLabs,https://www.facebook.com/ArkoseLabs/,https://www.linkedin.com/company/arkoselabs/,Early Stage Venture,,,Less than $1M
12,LeafLink,https://www.crunchbase.com/organization/leaflink,"New York, New York, United States","B2B, Cannabis, SaaS, Supply Chain Management, Wholesale",Series B,2019-08-07,35000000.0,USD,35000000.0,51-100,49000000.0,USD,49000000.0,7.0,,,,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/leaflinkus,https://www.facebook.com/LeafLinkUS/,https://www.linkedin.com/company/leaflink,Early Stage Venture,,,Less than $1M
13,Particle Media,https://www.crunchbase.com/organization/particle-media,"Mountain View, California, United States","Apps, Journalism, Media and Entertainment, Mobile, News, Search Engine",Series B,2017-05-11,7600000.0,USD,7600000.0,51-100,20600081.0,USD,20600081.0,3.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/particle_news,https://www.facebook.com/newsbreaknow/,https://www.linkedin.com/company/particle-media-inc-,Early Stage Venture,,,Less than $1M
18,Snapask,https://www.crunchbase.com/organization/appedu,"Kowloon City, Kowloon, Hong Kong","Big Data, Education, Mobile, Q&A, Tutoring",Series B,2020-02-25,35000000.0,USD,35000000.0,101-250,56800000.0,USD,56800000.0,5.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/snapaskmy,http://www.facebook.com/snapask,https://www.linkedin.com/company/snapask,Early Stage Venture,,,Less than $1M
19,BenchSci,https://www.crunchbase.com/organization/benchsci,"Toronto, Ontario, Canada","Artificial Intelligence, Biotechnology, Life Science, Machine Learning, Pharmaceutical",Series B,2020-02-04,22000000.0,USD,22000000.0,51-100,44636611.0,USD,44636611.0,7.0,,,,,,4.0,,,,For Profit,2015-01-01,https://www.twitter.com/benchsci,https://www.facebook.com/benchsci/,https://www.linkedin.com/company/benchsci,Early Stage Venture,,,Less than $1M
20,UJET,https://www.crunchbase.com/organization/ujet,"San Francisco, California, United States","Call Center, Communications Infrastructure, Customer Service, Developer Platform, Enterprise Applications, Enterprise Software, Information Technology, Messaging, Mobile Apps, Software",Series B,2018-02-13,25000000.0,USD,25000000.0,51-100,45600000.0,USD,45600000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/UJETco,https://www.facebook.com/UJETco/,https://www.linkedin.com/company/ujetco/,Early Stage Venture,,,Less than $1M
21,Luma Health,https://www.crunchbase.com/organization/luma-health,"San Francisco, California, United States","Apps, Electronic Health Record (EHR), Health Care, mHealth, Scheduling",Series B,2019-08-27,16000000.0,USD,16000000.0,11-50,29100000.0,USD,29100000.0,4.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/lumahealthhq,https://www.facebook.com/lumahealth,https://www.linkedin.com/company/6403362/,Early Stage Venture,,,Less than $1M
23,Ease,https://www.crunchbase.com/organization/ease-central,"San Francisco, California, United States","Human Resources, Information Technology, SaaS, Software",Series B,2019-03-19,19000000.0,USD,19000000.0,101-250,27600000.0,USD,27600000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/ease,https://www.facebook.com/easecentral,https://www.linkedin.com/company/easecentral,Early Stage Venture,,,Less than $1M
34,Imagen Technologies,https://www.crunchbase.com/organization/imagentechnologies,"New York, New York, United States","Artificial Intelligence, Biotechnology, Health Care, Health Diagnostics, Software",Series B,2018-09-07,40000000.0,USD,40000000.0,51-100,60000000.0,USD,60000000.0,3.0,,,,,,4.0,,,,For Profit,2015-01-01,,,https://www.linkedin.com/company/imagen-technologies/,Early Stage Venture,,,Less than $1M
35,Instawork,https://www.crunchbase.com/organization/instawork,"San Francisco, California, United States","Hospitality, Internet, Marketplace, Mobile Apps, Recruiting",Series B,2019-05-22,18000000.0,USD,18000000.0,51-100,28000000.0,USD,28000000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/instawork,https://www.facebook.com/instawork.jobs/,https://www.linkedin.com/company/instawork/,Early Stage Venture,,,Less than $1M
37,AllyO,https://www.crunchbase.com/organization/allyo,"Palo Alto, California, United States","Artificial Intelligence, Human Resources, Machine Learning, Natural Language Processing, Recruiting, SaaS",Series B,2019-06-05,45000000.0,USD,45000000.0,101-250,64000000.0,USD,64000000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/AllyOAI,https://www.facebook.com/AllyOAI,https://www.linkedin.com/company/allyo/,Early Stage Venture,,,Less than $1M
