,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
0,Nexar,https://www.crunchbase.com/organization/nexar-2,"Tel Aviv, Tel Aviv, Israel","Apps, Autonomous Vehicles, Internet, Sensor, Transportation",Series C,2020-04-30,52000000.0,USD,52000000.0,101-250,96500000.0,USD,96500000.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,http://twitter.com/getnexar,https://facebook.com/getnexar,https://www.linkedin.com/company/10460529,Late Stage Venture,,,Less than $1M
9,Nurx,https://www.crunchbase.com/organization/nurx,"San Francisco, California, United States","Health Care, Medical, Personal Health, Wellness, Women's",Series C,2019-08-15,32000000.0,USD,32000000.0,51-100,93420000.0,USD,93420000.0,6.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/nurxapp,https://www.facebook.com/nurxapp,https://www.linkedin.com/company/nurx/,Late Stage Venture,,,Less than $1M
11,The Wing,https://www.crunchbase.com/organization/the-wing,"New York, New York, United States","Collaboration, Communities, Coworking, Social Network, Women's",Series C,2018-12-19,75000000.0,USD,75000000.0,101-250,117500000.0,USD,117500000.0,5.0,,,,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/the_wing,https://www.facebook.com/thewingnyc,https://www.linkedin.com/company/the-wingnyc/,Late Stage Venture,,,Less than $1M
16,Tally Technologies,https://www.crunchbase.com/organization/tally-technologies,"San Francisco, California, United States","Credit Cards, Financial Services, FinTech, Mobile Apps",Series C,2019-06-18,50000000.0,USD,50000000.0,101-250,92000000.0,USD,92000000.0,5.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/meettally,https://www.facebook.com/meettally,https://www.linkedin.com/company/meettally/,Late Stage Venture,,,Less than $1M
46,Crew,https://www.crunchbase.com/organization/crew-3,"San Francisco, California, United States","Collaboration, Messaging, Productivity Tools, Scheduling, Task Management",Series C,2018-12-19,35000000.0,USD,35000000.0,51-100,59900000.0,USD,59900000.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/crew_app,https://www.facebook.com/crewmessaging/,https://www.linkedin.com/company/crew-/,Late Stage Venture,,,Less than $1M
74,ALX Oncology,https://www.crunchbase.com/organization/alexo-therapeutics-limited,"San Francisco, California, United States","Biopharma, Biotechnology, Health Care, Life Science, Therapeutics",Series C,2020-02-12,105000000.0,USD,105000000.0,11-50,166000000.0,USD,166000000.0,3.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/alxoncology,,https://www.linkedin.com/company/alexo-therapeutics/,Late Stage Venture,,,Less than $1M
85,Gritstone Oncology,https://www.crunchbase.com/organization/gritstone-oncology,"Emeryville, California, United States","Biotechnology, Finance, Health Care, Natural Resources, Therapeutics",Series C,2018-06-01,21000000.0,USD,21000000.0,101-250,216000000.0,USD,216000000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/gritstoneonc,,https://www.linkedin.com/company/gritstone-oncology/,IPO,,,Less than $1M
637,Xinren Xinshi,https://www.crunchbase.com/organization/xinrenxinshi,"Beijing, Beijing, China","Corporate Training, Human Resources, Internet, SaaS, Service Industry",Series C,2018-11-21,26510000.0,USD,26510000.0,51-100,40010000.0,USD,40010000.0,3.0,,,,,,4.0,,,,For Profit,2015-01-01,,,https://www.linkedin.com/company/7805320/,Late Stage Venture,,,Less than $1M
1002,Otonomo,https://www.crunchbase.com/organization/otonomo,"Herzliya, Tel Aviv, Israel","Automotive, Autonomous Vehicles, Software, Transportation",Series C,2020-04-30,46000000.0,USD,46000000.0,101-250,89000000.0,USD,89000000.0,5.0,,,,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/otonomo_,https://www.facebook.com/otonomo.io,https://www.linkedin.com/company/10311669,Late Stage Venture,,,$1M to $10M
1009,Zenjob,https://www.crunchbase.com/organization/zenjob,"Berlin, Berlin, Germany","Employment, Human Resources, Recruiting, Staffing Agency",Series C,2020-05-12,27600000.0,EUR,29850681.0,101-250,50600000.0,EUR,56053282.0,5.0,,,,,,4.0,,,,For Profit,2015-01-01,https://www.twitter.com/zenjobcom,https://www.facebook.com/zenjob,https://www.linkedin.com/company/zenjob,Late Stage Venture,,,$1M to $10M
