,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
126,Yimidida,https://www.crunchbase.com/organization/yimidida,"Shanghai, Shanghai, China","Cloud Data Services, Logistics, Productivity Tools, Social Media, Social Network",Series D,2020-02-19,140000000.0,USD,140000000.0,10001+,543605512.0,USD,543605512.0,6.0,,,,,,1.0,,,,For Profit,2015-01-01,,,,Late Stage Venture,,,Less than $1M
208,Ulab Systems,https://www.crunchbase.com/organization/ulab-systems,"Menlo Park, California, United States","Consumer Software, Software",Series D,2020-01-27,18000000.0,USD,18000000.0,11-50,28920000.0,USD,28920000.0,3.0,,,,,,3.0,,,,,2015-01-01,,,,Late Stage Venture,,,Less than $1M
1013,Chehaoduo,https://www.crunchbase.com/organization/guazi-com,"Beijing, Beijing, China","Automotive, Brand Marketing, E-Commerce, Online Auctions",Series D,2020-05-06,200000000.0,USD,200000000.0,10001+,3570000000.0,USD,3570000000.0,8.0,Made Acquisitions,,,1.0,,1.0,,,,For Profit,2015-01-01,,,https://www.linkedin.com/company/guazi,Late Stage Venture,,,$1M to $10M
1015,ShareChat,https://www.crunchbase.com/organization/sharechat,"Bangalore, Karnataka, India","Internet, Mobile Apps, Social Network",Series D,2019-08-15,100000000.0,USD,100000000.0,101-250,222830000.0,USD,222830000.0,8.0,Made Acquisitions,,,3.0,,4.0,,,,For Profit,2015-01-01,https://twitter.com/sharechatapp,https://www.facebook.com/ShareChatApp/,https://www.linkedin.com/company/6605974,Late Stage Venture,,,$1M to $10M
1020,Shadowfax,https://www.crunchbase.com/organization/shadowfax-technologies,"Bangalore, Karnataka, India","Delivery Service, E-Commerce, Internet, Logistics, Supply Chain Management",Series D,2019-12-05,60000000.0,USD,60000000.0,501-1000,119680000.0,USD,119680000.0,6.0,Made Acquisitions,,,2.0,,2.0,,,,For Profit,2015-01-01,https://twitter.com/shadowfax_in,https://www.facebook.com/shadowfax.in/,https://www.linkedin.com/company/shadowfax,Late Stage Venture,,,$1M to $10M
1021,Moglix,https://www.crunchbase.com/organization/moglix,"Singapore, Central Region, Singapore","B2B, E-Commerce, Mobile",Series D,2019-07-11,60000000.0,USD,60000000.0,51-100,102208452.0,USD,102208452.0,6.0,,,,,,1.0,,,,For Profit,2015-01-01,https://www.twitter.com/moglix,https://www.facebook.com/673779002727402,https://www.linkedin.com/company/moglix,Late Stage Venture,,,$1M to $10M
1026,Roofstock,https://www.crunchbase.com/organization/roofstock,"Oakland, California, United States","FinTech, Marketplace, Property Management, Real Estate, Rental Property",Series D,2020-01-08,50000000.0,USD,50000000.0,101-250,125250000.0,USD,125250000.0,6.0,Made Acquisitions,,,1.0,,4.0,,,,For Profit,2015-01-01,https://twitter.com/roofstock,https://www.facebook.com/Roofstock,https://www.linkedin.com/company/roofstock,Late Stage Venture,,,$1M to $10M
1039,Plume Design,https://www.crunchbase.com/organization/plume-design-inc,"Palo Alto, California, United States","Computer, Electronics, Hardware, Internet, Network Hardware, Wireless",Series D,2020-02-25,60000000.0,USD,60000000.0,101-250,152357341.0,USD,152357341.0,5.0,,,,,,4.0,,,,For Profit,2015-01-01,https://twitter.com/plumewifi,https://www.facebook.com/plumewifi/,https://www.linkedin.com/company/plume-wifi/,Late Stage Venture,,,$1M to $10M
1141,OfBusiness,https://www.crunchbase.com/organization/ofbusiness,"Gurgaon, Haryana, India","Financial Services, Lending",Series D,2019-09-24,2423500000.0,INR,34149341.0,11-50,83125170.0,USD,83125170.0,6.0,,,,,,8.0,,,,For Profit,2015-01-01,https://twitter.com/ofbusiness_com,https://www.facebook.com/OfBusiness-469041243273685,https://www.linkedin.com/company/ofbusiness/,Late Stage Venture,,,$1M to $10M
1210,Meesho,https://www.crunchbase.com/organization/meesho,"Bangalore, Karnataka, India","E-Commerce, E-Commerce Platforms, Internet, Mobile Apps, Social Media",Series D,2019-08-12,125000000.0,USD,125000000.0,501-1000,215200000.0,USD,215200000.0,8.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/meeshoapp,https://www.facebook.com/meeshosupply,https://www.linkedin.com/company/meesho/,Late Stage Venture,,,$1M to $10M
