,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
8,Daily Harvest,https://www.crunchbase.com/organization/daily-harvest,"New York, New York, United States","E-Commerce, Food and Beverage, Food Delivery, Organic Food",Undisclosed,2019-12-23,,,,101-250,43000000.0,USD,43000000.0,5.0,,,,,,2.0,,,,For Profit,2015-01-01,http://twitter.com/dlyharvest,http://www.facebook.com/dailyharvestblends,https://www.linkedin.com/company/daily-harvest/,,,,Less than $1M
26,Cora,https://www.crunchbase.com/organization/cora-2,"San Francisco, California, United States","Beauty, Fitness, Health Care, Wellness",Undisclosed,2020-01-01,,,,"1,001-5,000",13500000.0,USD,13500000.0,5.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/corawomen,https://www.facebook.com/corawomen/,https://www.linkedin.com/company/cora/,,,,Less than $1M
32,Bublar,https://www.crunchbase.com/organization/bublar,"Stockholm, Stockholms Lan, Sweden","Android, Augmented Reality, Gaming, Information Technology, iOS, Location Based Services, Social Media, Virtual Reality",Undisclosed,2016-11-07,5000000.0,SEK,555283.0,11-50,5000000.0,SEK,555283.0,1.0,Made Acquisitions,,,3.0,,4.0,,,,For Profit,2015-01-01,,,,,,,Less than $1M
89,On Robot,https://www.crunchbase.com/organization/on-robot,"Odense, Syddanmark, Denmark","Electronics, Industrial Automation, Manufacturing, Product Design, Robotics",Undisclosed,2019-12-19,185000000.0,DKK,27543644.0,101-250,185000000.0,DKK,27543644.0,5.0,Made Acquisitions,,,3.0,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/onrobot_,https://www.facebook.com/onrobot1,https://www.linkedin.com/company/onrobot/,,,,Less than $1M
151,Qeepsake,https://www.crunchbase.com/organization/qeepsake,"Waltham, Massachusetts, United States","Consumer Software, Parenting",Undisclosed,2018-08-01,500000.0,USD,500000.0,1-10,1475000.0,USD,1475000.0,4.0,,,,,,3.0,,,,For Profit,2015-01-01,,,,,,,Less than $1M
161,AlphaFlow,https://www.crunchbase.com/organization/alphaflow,"San Francisco, California, United States","Customer Service, Impact Investing, Service Industry",Undisclosed,2018-10-18,,,,1-10,6380474.0,USD,6380474.0,5.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/AlphaFlow,https://www.facebook.com/alphaflowinc,https://www.linkedin.com/company/alphaflow,,,,Less than $1M
280,Dog Parker,https://www.crunchbase.com/organization/dog-parker,"Brooklyn, New York, United States","Advertising, Hardware, Internet of Things, Leasing, Outdoor Advertising, Pet, Retail Technology, Sharing Economy",Undisclosed,2018-12-11,3385869.0,USD,3385869.0,1-10,6961986.0,USD,6961986.0,6.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/dogspot,https://www.facebook.com/hellodogspot,https://www.linkedin.com/company/10800936,,,,Less than $1M
397,Univrses,https://www.crunchbase.com/organization/univrses,"Stockholm, Stockholms Lan, Sweden","Software, Virtual Assistant, Virtual Reality, Virtualization",Undisclosed,2016-10-28,8000000.0,SEK,888839.0,11-50,2688839.0,USD,2688839.0,2.0,,,,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/univrses,https://www.facebook.com/univrses,,,,,Less than $1M
401,Synapbox,https://www.crunchbase.com/organization/synapbox,"San Francisco, California, United States","Advertising, Analytics, Artificial Intelligence, Big Data, Human Computer Interaction, Machine Learning, Usability Testing",Undisclosed,2019-09-22,,,,11-50,630000.0,USD,630000.0,4.0,,,,,,4.0,,,,For Profit,2015-01-01,https://twitter.com/Synapbox,https://www.facebook.com/synapbox,https://www.linkedin.com/company/3700675,,,,Less than $1M
424,Krystal Biotech,https://www.crunchbase.com/organization/krystal-biotech,"Pittsburgh, Pennsylvania, United States","Biopharma, Biotechnology, Health Care",Undisclosed,2017-08-08,7000000.0,USD,7000000.0,11-50,7000000.0,USD,7000000.0,1.0,,,,,,1.0,,,,For Profit,2015-01-01,,,,IPO,,,Less than $1M
