,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
1,Medable,https://www.crunchbase.com/organization/medable-inc,"Palo Alto, California, United States","Developer APIs, Health Care, Medical, Medical Device, Messaging, Pharmaceutical",Venture - Series Unknown,2020-05-04,25000000.0,USD,25000000.0,101-250,33202069.0,USD,33202069.0,3.0,,,,,,3.0,,,,For Profit,2015-01-01,http://twitter.com/MedableInc,https://www.facebook.com/MedableInc/,https://www.linkedin.com/company/medable-inc-/,,,,Less than $1M
14,Buymie,https://www.crunchbase.com/organization/buymie,"Dublin, Dublin, Ireland","E-Commerce, Food and Beverage, Food Delivery, Grocery",Venture - Series Unknown,2020-04-28,2200000.0,EUR,2383183.0,11-50,4800000.0,EUR,5359913.0,6.0,,,,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/buymie_ire,https://www.facebook.com/Buymie/,https://www.linkedin.com/company/buymie-technologies-ltd/about/,,,,Less than $1M
15,QL Gaming Group,https://www.crunchbase.com/organization/rotoql,"New York, New York, United States","Analytics, Consumer, Sports",Venture - Series Unknown,2020-05-06,1100000.0,USD,1100000.0,11-50,7370000.0,USD,7370000.0,6.0,Made Acquisitions,,,1.0,,3.0,,,,For Profit,2015-01-01,,,https://www.linkedin.com/company/rotoql,,,,Less than $1M
40,Transmit Security,https://www.crunchbase.com/organization/transmit-security,"Boston, Massachusetts, United States","Cyber Security, Mobile, Security",Venture - Series Unknown,2017-01-12,40000000.0,USD,40000000.0,101-250,40000000.0,USD,40000000.0,1.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/transmitsec,https://www.facebook.com/TransmitSec/,https://www.linkedin.com/company/transmit-security/,,,,Less than $1M
71,Trace Genomics,https://www.crunchbase.com/organization/trace-genomics,"Burlingame, California, United States","Agriculture, AgTech, Biotechnology, Farming",Venture - Series Unknown,2019-06-05,3000000.0,USD,3000000.0,11-50,22535000.0,USD,22535000.0,5.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/tracegenomics,https://www.facebook.com/tracegenomics/,https://www.linkedin.com/company/trace-genomics/,,,,Less than $1M
80,Shiftsmart,https://www.crunchbase.com/organization/shiftsmart,"San Francisco, California, United States","Developer Platform, Human Resources, Internet, Marketplace",Venture - Series Unknown,2020-02-06,16300000.0,USD,16300000.0,1-10,19350000.0,USD,19350000.0,2.0,,,,,,1.0,,,,,2015-01-01,,https://www.facebook.com/shiftsmartsf/,https://www.linkedin.com/company/shiftsmart-inc-/,,,,Less than $1M
86,Ingrid,https://www.crunchbase.com/organization/ingrid-9c8b,"Stockholm, Stockholms Lan, Sweden","E-Commerce, Logistics, Shipping, Supply Chain Management",Venture - Series Unknown,2020-03-25,12300000.0,SEK,1219083.0,11-50,14700000.0,SEK,1487116.0,2.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/poweredbyingrid,https://www.facebook.com/ingriddotcom,https://www.linkedin.com/company/ingridhq/about/,,,,Less than $1M
87,Terra's Kitchen,https://www.crunchbase.com/organization/terra-s-kitchen,"Baltimore, Maryland, United States","Delivery, E-Commerce, Food and Beverage, Recipes",Venture - Series Unknown,2017-05-09,2155000.0,USD,2155000.0,11-50,2155000.0,USD,2155000.0,2.0,,,,,,1.0,,,,For Profit,2015-01-01,https://www.twitter.com/terraskitchen,https://www.facebook.com/terraskitchen,https://www.linkedin.com/company/terra's-kitchen,,,,Less than $1M
97,Clara Health,https://www.crunchbase.com/organization/clarahealth,"San Francisco, California, United States","Clinical Trials, Health Care, Pharmaceutical, SaaS, Software",Venture - Series Unknown,2020-01-02,7091350.0,USD,7091350.0,1-10,10101350.0,USD,10101350.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/Clara_Health,https://www.facebook.com/clarahealth/,https://www.linkedin.com/company/clara-health,,,,Less than $1M
98,Finexio,https://www.crunchbase.com/organization/finexio,"San Mateo, California, United States","B2B, Information Services, Information Technology, Payments",Venture - Series Unknown,2019-12-04,2500000.0,USD,2500000.0,1-10,7500000.0,USD,7500000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/finexiopayments,,https://www.linkedin.com/company/10697239,,,,Less than $1M
99,Modal,https://www.crunchbase.com/organization/drive-motors,"San Francisco, California, United States","Automotive, E-Commerce, Mobile, SaaS",Venture - Series Unknown,2019-06-14,6000000.0,USD,6000000.0,11-50,12700000.0,USD,12700000.0,6.0,,,,,,1.0,,,,For Profit,2015-01-01,https://www.twitter.com/modalcommerce,https://www.facebook.com/modalcommerce/,https://www.linkedin.com/company/modal-commerce,,,,Less than $1M
100,Hippeas,https://www.crunchbase.com/organization/hippeas,"Los Angeles, California, United States","Food and Beverage, Health Care, Organic Food",Venture - Series Unknown,2018-12-07,8000000.0,USD,8000000.0,11-50,22000000.0,USD,22000000.0,4.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/hippeas_snacks,https://www.facebook.com/pg/HippeasSnacksUSA/about/?ref=page_internal,https://www.linkedin.com/company-beta/10883235/,,,,Less than $1M
101,Alitheon,https://www.crunchbase.com/organization/alitheon,"Bellevue, Washington, United States","Artificial Intelligence, Cloud Computing, Computer, Computer Vision, Machine Learning, Optical Communication, Software",Venture - Series Unknown,2020-01-08,14900000.0,USD,14900000.0,11-50,34900509.0,USD,34900509.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/alitheon,,https://www.linkedin.com/company/alitheon/,,,,Less than $1M
104,Feedtrail,https://www.crunchbase.com/organization/feedtrail,"Raleigh, North Carolina, United States","Enterprise Software, Health Care, SaaS",Venture - Series Unknown,2020-04-15,800000.0,USD,800000.0,11-50,2670000.0,USD,2670000.0,6.0,,,,,,4.0,,,,For Profit,2015-01-01,https://www.twitter.com/feedtrailusa,https://www.facebook.com/feedtrail,https://www.linkedin.com/company/feedtrail/,,,,Less than $1M
109,Romeo Power,https://www.crunchbase.com/organization/romeo-power,,"Battery, Electric Vehicle, Energy, Manufacturing",Venture - Series Unknown,2019-08-05,4000000.0,USD,4000000.0,51-100,122583872.0,USD,122583872.0,5.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/romeopowertech,,https://www.linkedin.com/company/romeopowertechnology/,,,,Less than $1M
118,Journey Meditation,https://www.crunchbase.com/organization/journey-meditation,"New York, New York, United States","Fitness, Health Care, Wellness",Venture - Series Unknown,2020-02-07,100000.0,USD,100000.0,11-50,2700000.0,USD,2700000.0,6.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/journeymeditate,https://www.facebook.com/pg/journeymeditation,https://www.linkedin.com/company/journey-meditation/,,,,Less than $1M
121,Airinum,https://www.crunchbase.com/organization/airinum,"Stockholm, Stockholms Lan, Sweden","Fitness, Health Care, Wellness",Venture - Series Unknown,2018-11-16,12000000.0,SEK,1332726.0,1-10,1720893.0,USD,1720893.0,3.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/airinumab,https://www.facebook.com/airinum,https://www.linkedin.com/company/airinum-ab,,,,Less than $1M
122,DroneSeed,https://www.crunchbase.com/organization/droneseed,"Seattle, Washington, United States","CleanTech, Drones, Environmental Engineering, Forestry, Impact Investing, Industrial Automation, Natural Resources, Renewable Energy, Robotics, Social Impact",Venture - Series Unknown,2017-11-30,3700000.0,USD,3700000.0,11-50,4820000.0,USD,4820000.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/droneseed,https://www.facebook.com/droneseed/,https://www.linkedin.com/company/droneseed,,,,Less than $1M
134,Paladin,https://www.crunchbase.com/organization/paladin-2,"New York, New York, United States","Information Technology, Internet, Legal, Professional Services",Venture - Series Unknown,2018-07-06,1100000.0,USD,1100000.0,1-10,1900000.0,USD,1900000.0,6.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/joinpaladin,https://www.facebook.com/PaladinPBC,https://www.linkedin.com/company/paladin-pbc/,,,,Less than $1M
135,Checkmate Pharmaceuticals,https://www.crunchbase.com/organization/checkmate-pharmaceuticals,"Cambridge, Massachusetts, United States","Biotechnology, Medical Device, Pharmaceutical, Therapeutics",Venture - Series Unknown,2020-01-27,15999999.0,USD,15999999.0,11-50,84999999.0,USD,84999999.0,4.0,,,,,,1.0,,,,For Profit,2015-01-01,,,https://www.linkedin.com/company/checkmate-pharmaceuticals/,,,,Less than $1M
140,Felix Gray,https://www.crunchbase.com/organization/felix-gray,"New York, New York, United States","Eyewear, Fashion, Health Care",Venture - Series Unknown,2018-12-21,6014508.0,USD,6014508.0,1-10,6054508.0,USD,6054508.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/felixgrays,https://www.facebook.com/felixgrayeyes,https://www.linkedin.com/company/10148820,,,,Less than $1M
146,Flixstock,https://www.crunchbase.com/organization/flixstock,"Gurgaon, Haryana, India","Artificial Intelligence, E-Commerce, Machine Learning, Retail Technology",Venture - Series Unknown,2020-03-02,2500000.0,USD,2500000.0,101-250,2500000.0,USD,2500000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/flixstock,https://www.facebook.com/flixstock/,https://in.linkedin.com/company/flixstock,,,,Less than $1M
156,DataDome,https://www.crunchbase.com/organization/datadome,"Paris, Ile-de-France, France","Analytics, Cyber Security, E-Commerce, Internet, SaaS, Software",Venture - Series Unknown,2018-01-31,2500000.0,EUR,3104294.0,11-50,3560000.0,EUR,4246225.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/data_dome,https://www.facebook.com/datadome/,https://www.linkedin.com/company/datadome,,,,Less than $1M
157,Chrono.gg,https://www.crunchbase.com/organization/chrono-gg,"Austin, Texas, United States","Computer, Gaming, PC Games",Venture - Series Unknown,2020-01-28,5500000.0,USD,5500000.0,11-50,8075000.0,USD,8075000.0,4.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/chronodeals,https://www.facebook.com/pg/chronogg/,,,,,Less than $1M
159,Patientory,https://www.crunchbase.com/organization/patientory-2,"Atlanta, Georgia, United States","Blockchain, Cyber Security, Health Care, Hospital, Information Technology",Venture - Series Unknown,2019-08-05,,,,1-10,7200000.0,USD,7200000.0,5.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/patientory,https://www.facebook.com/Patientory-1486364918334631,https://www.linkedin.com/company/patientory,,,,Less than $1M
168,Parachute Health,https://www.crunchbase.com/organization/parachute-health,"Manhattan, New York, United States","Health Care, Medical, Software",Venture - Series Unknown,2019-07-19,399999.0,USD,399999.0,11-50,15399999.0,USD,15399999.0,3.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/ParachuteHealth,https://www.facebook.com/parachutehealth,https://www.linkedin.com/company/parachute-health/,,,,Less than $1M
175,Rocket Pharmaceuticals,https://www.crunchbase.com/organization/rocket-pharmaceuticals,"Grand Cayman, Midland, Cayman Islands","Biotechnology, Health Care, Pharmaceutical",Venture - Series Unknown,2017-09-12,25137888.0,USD,25137888.0,11-50,41562888.0,USD,41562888.0,2.0,Made Acquisitions,,,1.0,,,,,,For Profit,2015-01-01,,,,,,,Less than $1M
182,Pneuma Respiratory,https://www.crunchbase.com/organization/pneuma-respiratory,"Boone, North Carolina, United States","Biotechnology, Medical, Pharmaceutical",Venture - Series Unknown,2019-07-15,4991533.0,USD,4991533.0,1-10,23291533.0,USD,23291533.0,3.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/pneumaplatform,,,,,,Less than $1M
