Founded Date,Estimated Revenue Range,Number of Employees,Organization Name
2015,$10M to $50M,1-10,75
2015,$10M to $50M,10001+,1
2015,$10M to $50M,1001-5000,12
2015,$10M to $50M,101-250,113
2015,$10M to $50M,11-50,199
2015,$10M to $50M,251-500,34
2015,$10M to $50M,501-1000,21
2015,$10M to $50M,51-100,146
2015,$1M to $10M,1-10,1445
2015,$1M to $10M,10001+,2
2015,$1M to $10M,1001-5000,10
2015,$1M to $10M,101-250,220
2015,$1M to $10M,11-50,2116
2015,$1M to $10M,251-500,43
2015,$1M to $10M,5001-10000,1
2015,$1M to $10M,501-1000,24
2015,$1M to $10M,51-100,354
2015,Less than $1M,"1,001-5,000",1
2015,Less than $1M,1-10,3978
2015,Less than $1M,10001+,2
2015,Less than $1M,1001-5000,1
2015,Less than $1M,101-250,70
2015,Less than $1M,11-50,1332
2015,Less than $1M,251-500,14
2015,Less than $1M,5001-10000,1
2015,Less than $1M,501-1000,4
2015,Less than $1M,51-100,146
2016,$10M to $50M,1-10,30
2016,$10M to $50M,10001+,2
2016,$10M to $50M,1001-5000,8
2016,$10M to $50M,101-250,57
2016,$10M to $50M,11-50,122
2016,$10M to $50M,251-500,19
2016,$10M to $50M,501-1000,10
2016,$10M to $50M,51-100,55
2016,$1M to $10M,1-10,522
2016,$1M to $10M,1001-5000,6
2016,$1M to $10M,101-250,142
2016,$1M to $10M,11-50,1286
2016,$1M to $10M,251-500,28
2016,$1M to $10M,5001-10000,1
2016,$1M to $10M,501-1000,9
2016,$1M to $10M,51-100,184
2016,Less than $1M,1-10,1529
2016,Less than $1M,10001+,1
2016,Less than $1M,1001-5000,3
2016,Less than $1M,101-250,51
2016,Less than $1M,11-50,853
2016,Less than $1M,251-500,9
2016,Less than $1M,501-1000,3
2016,Less than $1M,51-100,93
2017,$10M to $50M,1-10,26
2017,$10M to $50M,10001+,1
2017,$10M to $50M,1001-5000,2
2017,$10M to $50M,101-250,26
2017,$10M to $50M,11-50,92
2017,$10M to $50M,251-500,4
2017,$10M to $50M,5001-10000,1
2017,$10M to $50M,501-1000,3
2017,$10M to $50M,51-100,34
2017,$1M to $10M,1-10,312
2017,$1M to $10M,10001+,1
2017,$1M to $10M,1001-5000,2
2017,$1M to $10M,101-250,56
2017,$1M to $10M,11-50,870
2017,$1M to $10M,251-500,14
2017,$1M to $10M,5001-10000,1
2017,$1M to $10M,501-1000,1
2017,$1M to $10M,51-100,130
2017,Less than $1M,1-10,892
2017,Less than $1M,1001-5000,1
2017,Less than $1M,101-250,27
2017,Less than $1M,11-50,556
2017,Less than $1M,251-500,5
2017,Less than $1M,501-1000,4
2017,Less than $1M,51-100,52
2018,$10M to $50M,1-10,17
2018,$10M to $50M,1001-5000,3
2018,$10M to $50M,101-250,16
2018,$10M to $50M,11-50,35
2018,$10M to $50M,251-500,4
2018,$10M to $50M,501-1000,4
2018,$10M to $50M,51-100,17
2018,$1M to $10M,1-10,131
2018,$1M to $10M,10001+,1
2018,$1M to $10M,1001-5000,2
2018,$1M to $10M,101-250,29
2018,$1M to $10M,11-50,354
2018,$1M to $10M,251-500,9
2018,$1M to $10M,501-1000,2
2018,$1M to $10M,51-100,34
2018,Less than $1M,1-10,360
2018,Less than $1M,10001+,1
2018,Less than $1M,1001-5000,1
2018,Less than $1M,101-250,8
2018,Less than $1M,11-50,211
2018,Less than $1M,251-500,1
2018,Less than $1M,501-1000,2
2018,Less than $1M,51-100,16
2019,$10M to $50M,1-10,2
2019,$10M to $50M,101-250,2
2019,$10M to $50M,11-50,7
2019,$10M to $50M,51-100,2
2019,$1M to $10M,1-10,27
2019,$1M to $10M,101-250,2
2019,$1M to $10M,11-50,45
2019,$1M to $10M,251-500,5
2019,$1M to $10M,51-100,3
2019,Less than $1M,1-10,55
2019,Less than $1M,101-250,1
2019,Less than $1M,11-50,38
2019,Less than $1M,51-100,6
2020,$10M to $50M,1-10,1
2020,$1M to $10M,1-10,8
2020,$1M to $10M,101-250,1
2020,$1M to $10M,11-50,2
2020,Less than $1M,1-10,12
2020,Less than $1M,11-50,1
