,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
21297,Hopin,https://www.crunchbase.com/organization/hopin-8ff6,"London, England, United Kingdom","Event Management, Events, Social, Social Network, Video Conferencing",Seed,2020-02-20,5000000.0,GBP,6440518.0,11-50,5000000.0,GBP,6440518.0,2.0,,,,,,1.0,,,,For Profit,2019,https://twitter.com/hopinofficial,https://www.facebook.com/hopinofficial,https://www.linkedin.com/company/hopinofficial,Seed,,,$1M to $10M
21298,Robocorp,https://www.crunchbase.com/organization/robocorp,"San Francisco, California, United States","Cloud Infrastructure, Information Technology, Open Source, SaaS, Software",Secondary Market,2020-04-20,4800000.0,EUR,5215441.0,11-50,11385043.0,USD,11385043.0,3.0,,,,,,4.0,,,,For Profit,2019,https://twitter.com/RobocorpInc,,https://www.linkedin.com/company/robocorp/,Seed,,,$1M to $10M
21299,One,https://www.crunchbase.com/organization/safecorp-technology,"Sacramento, California, United States","Banking, Financial Services, FinTech, Software",Series A,2020-03-17,17000000.0,USD,17000000.0,11-50,26000000.0,USD,26000000.0,2.0,,,,,,2.0,,,,For Profit,2019,https://www.twitter.com/onefinancehq,https://www.facebook.com/onefinancehq/,https://www.linkedin.com/company/onefinancehq,Early Stage Venture,,,$1M to $10M
21302,simsim,https://www.crunchbase.com/organization/simsim,"New Delhi, Delhi, India","Apps, E-Commerce, Internet",Series B,2020-02-14,8200000.0,USD,8200000.0,11-50,15450000.0,USD,15450000.0,3.0,,,,,,3.0,,,,For Profit,2019,,,https://www.linkedin.com/company/simsim-in/,Early Stage Venture,,,$1M to $10M
21303,Tandem Chat,https://www.crunchbase.com/organization/tandem-a224,"San Francisco, California, United States","Apps, Internet, Software",Seed,2019-08-20,7500000.0,USD,7500000.0,11-50,7500000.0,USD,7500000.0,1.0,,,,,,3.0,,,,,2019,https://twitter.com/Tandem_HQ,,https://www.linkedin.com/company/18412987,Seed,,,$1M to $10M
21305,InCountry,https://www.crunchbase.com/organization/incountry,"San Francisco, California, United States","Compliance, Data Storage, Information Technology",Series A,2019-07-18,15000000.0,USD,15000000.0,1-10,22000000.0,USD,22000000.0,2.0,,,,,,1.0,,,,For Profit,2019,https://twitter.com/InCountryInc,https://www.facebook.com/pg/InCountryInc/,https://www.linkedin.com/company/incountry/,Early Stage Venture,,,$1M to $10M
21306,Landing,https://www.crunchbase.com/organization/landing,"San Francisco, California, United States","Home Services, Real Estate, Residential",Series A,2020-02-06,20000000.0,USD,20000000.0,11-50,45000000.0,USD,45000000.0,4.0,,,,,,1.0,,,,For Profit,2019,https://twitter.com/HelloLanding,https://www.facebook.com/hellolanding,https://www.linkedin.com/company/hellolanding/,Early Stage Venture,,,$10M to $50M
21310,symmetrical.ai,https://www.crunchbase.com/organization/symmetrical-ai,"London, England, United Kingdom","Apps, Financial Services, FinTech, Mobile Apps",Seed,2020-04-05,,,,11-50,1650000.0,EUR,1854934.0,4.0,,,,,,3.0,,,,For Profit,2019,https://twitter.com/symmetricalai,https://www.facebook.com/symmetricalai/,https://www.linkedin.com/company/symmetrical-ai/,Seed,,,$1M to $10M
21311,Magic Spoon,https://www.crunchbase.com/organization/magic-spoon,"Brooklyn, New York, United States","Food and Beverage, Food Processing, Sales, Snack Food",Seed,2019-09-12,5500000.0,USD,5500000.0,1-10,5500000.0,USD,5500000.0,1.0,,,,,,2.0,,,,For Profit,2019,https://twitter.com/eatmagicspoon,https://www.facebook.com/magicspooncereal/,https://www.linkedin.com/company/magic-spoon-cereal/,Seed,,,$1M to $10M
21313,Synapse,https://www.crunchbase.com/organization/expertknowledge-inc,"Toronto, Ontario, Canada","Collaboration, E-Learning, Enterprise Software, Software, Training",Seed,2019-04-10,2500000.0,USD,2500000.0,11-50,3700000.0,USD,3700000.0,3.0,,,,,,3.0,,,,For Profit,2019,https://www.twitter.com/get_synapse,https://www.facebook.com/getsynapse,https://www.linkedin.com/company/get-synapse,Seed,,,$1M to $10M
